sentence_id,sentence_en,sentence_he
44,"When David finally stood up and checked their work, he saw that the shots weren't just regular, old, everyday selfies.","כשדיוויד סוף סוף קם ובדק את עבודתם, הוא ראה שהצילומים לא היו רק תמונות סלפי רגילות, ישנות ויומיומיות."
45,They weren't that guy at the gym taking pictures of his muscles in the mirror.,הם לא היו הבחור הזה בחדר הכושר שצילם את השרירים שלו במראה.
46,"These were next level, transcendentally good.","אלה היו ברמה הבאה, טובים בצורה טרנסצנדנטית."
47,They somehow escape the bounds of selfie and enter the realm of art.,הם איכשהו בורחים מגבולות הסלפי ונכנסים לתחום האמנות.
48,There was one shot in particular that caught David's eye.,הייתה ירייה אחת במיוחד שצדה את עינו של דוד.
49,The monkey's face is very close to the camera looking straight into the lens.,פניו של הקוף קרובים מאוד למצלמה ומביטות היישר לתוך העדשה.
50,It's hair perfectly coiffed.,זה שיער מכוסה בצורה מושלמת.
51,"Eyes friendly, big and round and amber.","עיניים ידידותיות, גדולות ועגולות וענבריות."
52,"All of which are nice details, and details are important.","כולם פרטים נחמדים, ופרטים חשובים."
53,"But the focus of this selfie, the main event, is the monkey's self-satisfied grin teeth that are too big for its mouth with gaps between them, a real grin, like he knows he's smiling for a picture.","אבל הפוקוס של הסלפי הזה, האירוע המרכזי, הוא שיני החיוך המרוצות מעצמו של הקוף שגדולות מדי לפה עם רווחים ביניהן, חיוך אמיתי, כאילו הוא יודע שהוא מחייך לתמונה."
54,I just saw it on the front cover of National Geographic or something like that.,בדיוק ראיתי את זה בשער הקדמי של נשיונל ג'יאוגרפיק או משהו כזה.
55,"And I just thought, I need to get this to my agents.","ופשוט חשבתי, אני צריך להעביר את זה לסוכנים שלי."
56,David and his agents put out a press release about the selfies.,דיוויד וסוכניו הוציאו הודעה לעיתונות על הסלפי.
57,They thought they could grab people's attention with the photos and then use the opportunity to send a message about conservation.,הם חשבו שהם יכולים למשוך את תשומת הלב של אנשים עם התמונות ואז לנצל את ההזדמנות כדי לשלוח הודעה על שימור.
58,"And also they wanted to sell the pictures, of course.","וגם הם רצו למכור את התמונות, כמובן."
59,"These monkeys, crested black macaques, are considered to be critically endangered, which is just one step before extinct in the wild.","הקופים האלה, מקוק שחור מצויץ, נחשבים בסכנת הכחדה חמורה, וזה רק צעד אחד לפני הכחדה בטבע."
60,"They've lost 80% of their population in the last 40 years because of humans, which is why David went to Indonesia in the first place.","הם איבדו 80% מהאוכלוסייה שלהם ב-40 השנים האחרונות בגלל בני אדם, וזו הסיבה שדיוויד נסע לאינדונזיה מלכתחילה."
61,"He wanted to take photographs that would inspire us humans into caring more about these little monkeys, to stop killing them.","הוא רצה לצלם תמונות שיעוררו אותנו בני האדם לדאוג יותר לקופים הקטנים האלה, להפסיק להרוג אותם."
62,"The selfies didn't end up on the cover of National Geographic, but the British tabloids were interested.","צילומי הסלפי לא הגיעו לשער של נשיונל ג'יאוגרפיק, אבל הצהובונים הבריטיים התעניינו."
63,The Daily Mail was the first newspaper to publish the story about the selfies.,"ה""דיילי מייל"" היה העיתון הראשון שפרסם את הסיפור על הסלפי."
64,This was in 2011.,זה היה ב-2011.
65,"Within an hour, it was all over your country, Australia, Germany.","תוך שעה זה היה בכל הארץ שלך, אוסטרליה, גרמניה."
66,I was getting emails everywhere.,קיבלתי מיילים בכל מקום.
67,My inbox went crazy.,תיבת הדואר הנכנס שלי השתגעה.
68,"People wanting to know the story, wanted to use the image.","אנשים שרצו לדעת את הסיפור, רצו להשתמש בתמונה."
69,"Literally, my phone was hot with calls.","פשוטו כמשמעו, הטלפון שלי היה לוהט משיחות."
70,"Over the next few months, the monkey selfies sold pretty well.","במהלך החודשים הבאים, תמונות הסלפי של הקופים נמכרו די טוב."
71,David was licensing them to publications and selling prints.,דוד נתן להם רישיון לפרסומים ולמכור הדפסים.
72,"And then one day, he goes online to research the monkeys.","ואז יום אחד, הוא נכנס לאינטרנט כדי לחקור את הקופים."
73,I started to just search crested black macaque one day in the Google.,התחלתי פשוט לחפש מקוק שחור מצויץ יום אחד בגוגל.
74,"And there was Wikipedia, top of the list as always.","והייתה ויקיפדיה, בראש הרשימה כמו תמיד."
75,"I clicked on that, and there's my image.","לחצתי על זה, והנה התמונה שלי."
76,"And I thought, where have they got this from?","וחשבתי, מאיפה הם הביאו את זה?"
77,Have they been to Caters News Agency and paid a license fee for it?,האם הם היו בסוכנות הידיעות קייטרס ושילמו על כך דמי רישוי?
78,They had not.,הם לא עשו זאת.
79,So I sent them a letter.,אז שלחתי להם מכתב.
80,"Sent them a letter saying, I think you're using this without a license fee.","שלח להם מכתב שאומר, אני חושב שאתה משתמש בזה ללא דמי רישיון."
81,"Could you show me one, or would you pay?","תוכל להראות לי אחד, או שתשלם?"
82,"They wrote back, saying, this image we believe is public domain.","הם כתבו בחזרה ואמרו, התמונה הזו שאנו מאמינים שהיא נחלת הכלל."
83,"In other words, anyone could use it without David's permission, for free.","במילים אחרות, כל אחד יכול להשתמש בו ללא רשותו של דיוויד, בחינם."
84,"To David, that was just stealing.",בעיני דיוויד זו הייתה רק גניבה.
85,He makes a living from selling his pictures.,הוא מתפרנס ממכירת תמונותיו.
86,So it was really helpful to have one that was such a hit.,אז זה היה ממש מועיל לקבל אחד שהיה כל כך להיט.
87,"But now, anyone could download it from Wikipedia and hang it on their wall or print it in their publication.","אבל עכשיו, כל אחד יכול להוריד אותו מויקיפדיה ולתלות אותו על הקיר שלו או להדפיס אותו בפרסום שלו."
88,Wikipedia's opinion is that information on the internet should be free.,דעתה של ויקיפדיה היא שמידע באינטרנט צריך להיות חופשי.
89,And David soon learned that they had decided the selfie was in the public domain.,ודיוויד למד במהרה שהם החליטו שהסלפי הוא נחלת הכלל.
90,Because the monkey pressed the button.,כי הקוף לחץ על הכפתור.
91,So the monkey was technically the creator of the photo.,אז הקוף היה טכנית היוצר של התמונה.
92,"But in Wikipedia's assessment, monkeys can't own copyrights.","אבל להערכת ויקיפדיה, קופים לא יכולים להחזיק בזכויות יוצרים."
93,"Hence, the photo was free and fair for all to use.","לפיכך, התמונה הייתה חופשית והוגנת לשימוש כולם."
94,It belonged to the internet.,זה היה שייך לאינטרנט.
95,David was baffled.,דיוויד היה מבולבל.
96,He thought.,הוא חשב.
97,"Well, surely I've got the copyright.","ובכן, בטח יש לי את זכויות היוצרים."
98,I set it all up.,קבעתי הכל.
99,I've got the intent.,יש לי את הכוונה.
100,I had the creativity.,הייתה לי את היצירתיות.
101,All the monkey did is press the button.,כל מה שהקוף עשה זה ללחוץ על הכפתור.
102,"Wikipedia includes a note below the photo, which reads, quote, ""This file is in the public domain because as the work of a non-human animal it has no human author in whom copyright is vested."" This decision of Wikipedia's, to declare the photo public domain, that was the opening volley in the monkey selfie battle to come.","ויקיפדיה כוללת הערה מתחת לתמונה, שבה נכתב, ציטוט, ""קובץ זה נמצא בנחלת הכלל מכיוון שכיצירה של בעל חיים לא אנושי אין לו מחבר אנושי שזכויות יוצרים נתונות לו"".ההחלטה הזו של ויקיפדיה, להכריז על הצילום כנחלת הכלל, הייתה מטח הפתיחה בקרב הסלפי של הקופים שיגיע."
103,"It was the moment when mother nature was shoved aside, and human nature, with its overstuffed baggage of laws and opinions and domination, took a seat.","זה היה הרגע שבו אמא טבע נדחקה הצידה, והטבע האנושי, עם המטען הגדוש מדי של חוקים ודעות ושליטה, תפס מקום."
104,"David went on the offensive, assembled a team of lawyers, studied up on copyright law.","דוד יצא למתקפה, הרכיב צוות של עורכי דין, למד על דיני זכויות יוצרים."
105,He even looked into finding venture capitalists to fund a lawsuit against Wikipedia.,הוא אפילו בדק למצוא משקיעי הון סיכון שיממנו תביעה נגד ויקיפדיה.
106,Wikimedia that's the foundation that owns Wikipedia they just gave him the finger.,ויקימדיה זו הקרן שבבעלותה ויקיפדיה הם פשוט נתנו לו את האצבע.
107,This was at their big conference in London.,זה היה בכנס הגדול שלהם בלונדון.
108,It's called Wikimania.,זה נקרא ויקימניה.
109,"One of the founders, Jimmy Wales, was there.","אחד המייסדים, ג'ימי וויילס, היה שם."
110,"I soon got to know, from the good Wikipedians out there, that Jimmy Wales and many of the delegates were mocking me by printing out my image on great big boards that were placed all over the conference facility.","עד מהרה למדתי לדעת, מהוויקיפדים הטובים שם, שג'ימי וויילס ורבים מהנציגים לועגים לי על ידי הדפסת התמונה שלי על לוחות גדולים וגדולים שהוצבו בכל רחבי מתקן הוועידה."
111,And Jimmy Wales and various other people were encouraging the delegates to take selfies with my selfie.,וג'ימי וויילס ועוד אנשים שונים עודדו את הנציגים לצלם סלפי עם הסלפי שלי.
112,That's just mean.,זה פשוט מרושע.
113,"There's quite a few of these images around the place on the internet, but the one with Jimmy Wales is particularly odious.","יש לא מעט מהתמונות האלה ברחבי המקום באינטרנט, אבל זו עם ג'ימי וויילס מגעילה במיוחד."
114,Wait.,לַחֲכוֹת.
115,I want to look that up really fast here.,אני רוצה לבדוק את זה ממש מהר כאן.
116,Hang on.,תחזיק מעמד.
117,Yeah.,כֵּן.
118,Jimmy Wales monkey selfie.,סלפי של קוף ג'ימי וויילס.
119,Jimmy Wales Wikimania.,ג'ימי וויילס ויקימניה.
120,Here we go.,הנה אנחנו הולכים.
121,"Oh, yeah.","אה, כן."
122,Look at that.,תראה את זה.
123,"If you type Jimmy Wales monkey selfie into the Google, you'll find a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face.","אם תקלידו סלפי של קוף של ג'ימי וויילס בגוגל, תמצאו תמונה של גבר מבוגר מחזיק את הטלפון שלו ביד אחת ואת הסלפי של הקוף בשנייה ממש ליד הפנים שלו."
124,And he's got his lips puckered up like a duck.,ושפתיו מקומטות כמו ברווז.
125,He looks ridiculous.,הוא נראה מגוחך.
126,"Now, is he is that face he's making is that.","עכשיו, האם הוא הפרצוף הזה שהוא עושה הוא זה."
127,"Well, it's like a duck face.","ובכן, זה כמו פרצוף ברווז."
128,I don't know where that comes from.,אני לא יודע מאיפה זה בא.
129,I don't either.,גם אני לא.
130,But a lot of people seem to do this duck lips.,אבל נראה שהרבה אנשים עושים את זה בשפתי ברווז.
131,How did you feel when you saw that Jimmy Wales selfie with your monkey selfie?,איך הרגשת כשראית את הסלפי של ג'ימי וויילס עם הסלפי של הקוף שלך?
132,So angry.,כל כך כועס.
133,David was fighting Goliath.,דוד נלחם בגוליית.
134,"And then one day, the battle took on epic new proportions.","ואז יום אחד, הקרב קיבל פרופורציות חדשות ואפיות."
135,"It was like King Kong walked onto the scene, and now David had to battle him too.","זה היה כאילו קינג קונג נכנס למקום, ועכשיו דיוויד נאלץ להילחם גם בו."
136,The dispute with Wikimedia had generated some press in the UK.,המחלוקת עם ויקימדיה יצרה כמה עיתונות בבריטניה.
137,"And one day, David's wife was online.","ויום אחד, אשתו של דוד הייתה מקוונת."
138,There it was.,הנה זה היה.
139,Photographer being sued by a monkey.,צלם נתבע על ידי קוף.
140,You found out the monkey was suing you because your wife found it online.,גילית שהקוף תובע אותך כי אשתך מצאה אותו באינטרנט.
141,Yeah.,כֵּן.
142,"Just as I found out Wikipedia was stealing it because I stumbled across it, I also stumbled across the fact that I was being sued by a monkey.","בדיוק כשגיליתי שוויקיפדיה גונבת אותה כי נתקלתי בה, נתקלתי גם בעובדה שתבעו אותי על ידי קוף."
143,"The monkey in the selfie photos was suing him for copyright infringement with the help of PETA, People for the Ethical Treatment of Animals.","הקוף בתמונות הסלפי תבע אותו על הפרת זכויות יוצרים בעזרת PETA, People for the Ethical Treatment of Animals."
144,David called his lawyers and said.,דוד התקשר לעורכי הדין שלו ואמר.
145,Look.,מַבָּט.
146,Have you seen what's happening now?,ראית מה קורה עכשיו?
147,What can we do?,מה אנחנו יכולים לעשות?
148,"And they said, Dave, this is clearly an April Fools'.","והם אמרו, דייב, ברור שזה אחד באפריל."
149,Somebody is having you on.,מישהו מחזיק אותך.
150,"They said, just sit back.",
151,Let's see what happens.,בוא נראה מה יקרה.
152,But do not respond to it.,אבל אל תגיב לזה.
153,And you can't you've got nothing to worry about until you get served papers.,ואתה לא יכול שאין לך מה לדאוג עד שיגישו לך ניירות.
154,Let's see what happens.,בוא נראה מה יקרה.
155,Right.,יָמִינָה.
156,"And sure enough, one afternoon I was at home.","ובאמת, אחר הצהריים אחד הייתי בבית."
157,And there's a knock at the door.,והנה דפיקה בדלת.
158,And a man in a black suit was standing in my porch way.,ואדם בחליפה שחורה עמד בדרכי למרפסת.
159,I opened the door.,פתחתי את הדלת.
160,He thrust a large A4-sized white envelope in my hand.,הוא תחב בידי מעטפה לבנה גדולה בגודל A4.
161,"And he says, I've been instructed to pass these to you.","והוא אומר, קיבלתי הוראה להעביר לך את אלה."
162,"So I said, what are they?","אז אמרתי, מה הם?"
163,And I opened it in front of him.,ופתחתי אותו לפניו.
164,And I took it out.,והוצאתי את זה.
165,"And I said to him, do you know what this is?","ואמרתי לו, אתה יודע מה זה?"
166,"And he said, not really.","והוא אמר, לא ממש."
167,"I said, I'm being sued by a monkey.","אמרתי, קוף תובע אותי."
168,And I showed him.,והראיתי לו.
169,And he started laughing.,והוא התחיל לצחוק.
170,And we had a little chat.,וניהלנו שיחה קטנה.
171,Because he was just a local from a local firm down the road from me.,כי הוא היה רק ​​מקומי מחברה מקומית בהמשך הדרך ממני.
172,And he went on his merry way.,והוא המשיך בדרכו העליזה.
173,I've read the complaint.,קראתי את התלונה.
174,It's kind of weird.,זה קצת מוזר.
175,You flip through pages and pages of legalese about copyright law.,אתה מדפדף בין דפים ודפים של משפטים בנושא חוק זכויות יוצרים.
176,"And then at the end when you get to the exhibits, it's just a bunch of monkey selfies, grinning, serious, howling monkey selfies like a legal document put together by Curious George.","ואז בסוף כשאתה מגיע לתערוכות, זה רק חבורה של סלפי קופים, סלפי קופים מחייכים, רציניים, מייללים כמו מסמך משפטי שהרכיב ג'ורג' הסקרן."
177,"The monkey, whose name is Naruto, was suing David through his next friends, People for the Ethical Treatment of Animals.","הקוף, ששמו נארוטו, תבע את דיוויד דרך חבריו הבאים, אנשים למען היחס האתי לבעלי חיים."
178,"The case is officially called Naruto, a Crested Macaque, by and through his Next Friends, People for the Ethical Treatment of Animals, Inc., v David John Slater, an Individual.","התיק נקרא רשמית נארוטו, מקוק מצויד, על ידי ובאמצעות חבריו הבאים, אנשים למען היחס האתי לבעלי חיים, בע""מ, נגד דייוויד ג'ון סלייטר, אינדיווידואל."
179,"In legal parlance, next friend is a status like guardian.","בשפה המשפטית, חבר הבא הוא סטטוס כמו אפוטרופוס."
180,"When someone can't represent themselves in court, the next friend can step in for them.","כשמישהו לא יכול לייצג את עצמו בבית המשפט, החבר הבא יכול להתערב עבורו."
181,That's just the same as if it was a baby or a disabled adult who couldn't speak or represent himself.,זה בדיוק אותו דבר כאילו היה זה תינוק או מבוגר מוגבל שלא יכול לדבר או לייצג את עצמו.
182,I see.,אני רואה.
183,That's not unusual in human law.,זה לא חריג בחוק האנושי.
184,PETA has a reputation for pulling stunts to attract attention to the plight of animals.,ל-PETA יש מוניטין של ביצוע פעלולים כדי למשוך תשומת לב למצוקתן של בעלי חיים.
185,"Once, they dumped horse manure on the sidewalk outside Gordon Ramsay's restaurant in London after a guest on his cooking show made a dish with horse meat.",פעם הם השליכו זבל סוסים על המדרכה מחוץ למסעדה של גורדון רמזי בלונדון לאחר שאורח בתוכנית הבישול שלו הכין מנה עם בשר סוס.
186,They made a comic book called Your Mommy Kills Animals and then handed it out to moms who were wearing fur coats at performances of the Nutcracker.,הם הכינו ספר קומיקס בשם Your Mommy Kills Animals ואז חילקו אותו לאמהות שלבשו מעילי פרווה בהופעות של מפצח האגוזים.
187,"They campaigned to change the word fish to sea kittens so that people would associate seafood with their adorable kitty cats and stop eating them the fish, I mean.","הם עשו קמפיין לשנות את המילה דגים לגורי ים כדי שאנשים יקשרו פירות ים עם חתולי החתולים המקסימים שלהם ויפסיקו לאכול להם את הדגים, זאת אומרת."
188,But Jeff Kerr he's the general counsel to PETA he says this monkey selfie case is not one of those stunts.,"אבל ג'ף קר הוא היועץ הכללי של PETA, הוא אומר שמקרה הסלפי של הקוף הוא לא אחד מהפעלולים האלה."
189,We first saw the monkey selfie in approximately 2014 when the dispute between Mr. Slater and Wikimedia became international news.,ראינו לראשונה את הסלפי של הקוף בערך בשנת 2014 כאשר המחלוקת בין מר סלייטר וויקימדיה הפכה לחדשות בינלאומיות.
190,"Our view was immediately that Naruto, who created the photograph, should own the copyright to it.","השקפתנו הייתה מיד שנארוטו, שיצר את התצלום, צריך להיות בעל זכויות היוצרים עליו."
191,"Jeff saw the dispute as this photographer wants to sue Wikimedia, and Wikimedia is claiming the photo is in the public domain.","ג'ף ראה את המחלוקת שכן הצלם הזה רוצה לתבוע את ויקימדיה, וויקימדיה טוענת שהתמונה היא נחלת הכלל."
192,But who's standing up for the monkey?,אבל מי עומד בעד הקוף?
193,That's what the law is.,זה מה שהחוק.
194,"And our argument, very simply, is that that should apply equally to him, even though he simply happens not to have been born human.","והטענה שלנו, בפשטות רבה, היא שזה צריך לחול עליו באותה מידה, למרות שהוא פשוט במקרה לא נולד בן אדם."
195,"But certainly the monkey didn't think like, now this is great.","אבל בהחלט הקוף לא חשב כאילו, עכשיו זה נהדר."
196,I've got a camera in my hands.,יש לי מצלמה בידיים.
197,I'm going to snap a couple frames and update my Bumble profile with whatever I get.,אני הולך לצלם כמה פריימים ולעדכן את פרופיל Bumble שלי עם כל מה שאקבל.
198,"The monkey's not thinking of it as, I'm taking a photograph here.","הקוף לא חושב על זה, אני מצלם כאן."
199,But that's not required under the copyright law.,אבל זה לא נדרש על פי חוק זכויות היוצרים.
200,"All that's required is that the copyright law simply provides that the author, the creator of the image, is entitled to own it.","כל מה שנדרש הוא שחוק זכויות היוצרים פשוט קובע שהיוצר, היוצר של התמונה, זכאי להחזיק בה."
201,It doesn't say that the author has to know that he or she is making a photograph.,זה לא אומר שהכותב צריך לדעת שהוא או היא מצלמים.
202,"If somebody gives you their camera and asks you to take a photograph, and you arrange them and you take the photograph, under those circumstances, you technically would own the copyright.","אם מישהו נותן לך את המצלמה שלו ומבקש ממך לצלם, ואתה מסדר אותם ואתה מצלם את התמונה, בנסיבות האלה, מבחינה טכנית תהיה לך זכויות היוצרים."
203,There are like 20 French tourists that I need to sue.,יש בערך 20 תיירים צרפתים שאני צריך לתבוע.
204,PETA is an American organization.,PETA הוא ארגון אמריקאי.
205,And the case was to be heard in federal court in San Francisco.,והתיק היה אמור להידון בבית משפט פדרלי בסן פרנסיסקו.
206,David talked to his lawyers in England.,דיוויד שוחח עם עורכי הדין שלו באנגליה.
207,And they told him he needed to hire an American attorney and fight this.,"והם אמרו לו שהוא צריך לשכור עו""ד אמריקאי ולהילחם בזה."
208,"I was advised by talking to these attorneys that I really did need to follow this through, because there would be a chance, an outside chance albeit, of it just going the monkey's way if I didn't challenge it.","ייעצו לי בשיחה עם עורכי הדין האלה שאני באמת צריך לבצע את זה, כי יהיה סיכוי, אם כי סיכוי חיצוני, שזה פשוט ילך לדרכו של הקוף אם לא אאתגר אותו."
209,The monkey would win?,הקוף ינצח?
210,Yeah.,כֵּן.
211,"Well, it was in the court in California.","ובכן, זה היה בבית המשפט בקליפורניה."
212,And everybody has the opinion that anything can happen there.,ולכולם יש דעה שהכל יכול לקרות שם.
213,I don't know how true that is.,אני לא יודע כמה זה נכון.
214,But I was being told I can't take that risk.,אבל אמרו לי שאני לא יכול לקחת את הסיכון הזה.
215,But of course.,אבל כמובן.
216,Have you been to California?,היית בקליפורניה?
217,"Well, no.","ובכן, לא."
218,It's kind of true.,זה די נכון.
219,David hired Andrew Dhuey to represent him.,דייוויד שכר את אנדרו דהוי לייצג אותו.
220,Do you remember when you first heard about the case?,אתה זוכר מתי שמעת לראשונה על המקרה?
221,Was it when did David call you?,מתי דיוויד התקשר אליך?
222,Is that how you first heard about it?,ככה שמעת על זה לראשונה?
223,"No, I read about it.","לא, קראתי על זה."
224,And I don't remember where I read about it.,ואני לא זוכר איפה קראתי על זה.
225,But I got pretty excited when I saw that it was filed in San Francisco federal court because I'm right across the bay in Berkeley.,אבל די התרגשתי כשראיתי שזה הוגש לבית המשפט הפדרלי בסן פרנסיסקו כי אני ממש מעבר למפרץ בברקלי.
226,"So I thought, wow, I would be perfect for this case.","אז חשבתי, וואו, אני אהיה מושלם עבור המקרה הזה."
227,Andrew is an intellectual property lawyer.,אנדרו הוא עורך דין קניין רוחני.
228,Works for himself.,עובד בשביל עצמו.
229,"And when he read about the case, he reached out to David to ask if he could take it.","וכשקרא על המקרה, הוא פנה אל דוד לשאול אם הוא יכול לקחת את זה."
230,Why did you think you were perfect for the case?,למה חשבת שאתה מושלם לתיק?
231,"Well, I think the case kind of lent itself to making monkey puns and things like that.","ובכן, אני חושב שהמקרה די השאיל את עצמו ליצירת משחקי מילים של קופים ודברים כאלה."
232,And I just thought that would be I kind of like to do that.,ופשוט חשבתי שזה יהיה שאני די אוהב לעשות את זה.
233,I like to joke around.,אני אוהב להתבדח.
234,I don't know if you've seen my LinkedIn profile.,אני לא יודע אם ראית את פרופיל הלינקדאין שלי.
235,I'm in a Chippendales costume.,אני בתחפושת של צ'יפנדיילס.
236,"For his LinkedIn picture, Andrew chose a shot of himself wearing eyeglasses, a bow tie, and nothing else.","לתמונת הלינקדאין שלו, אנדרו בחר תמונה שלו עם משקפי ראייה, עניבת פרפר ותו לא."
237,"All these years I've been practicing for like 25 years, and I've never been able to joke around in anything I filed in court.","כל השנים האלה אני מתאמן 25 שנה, ומעולם לא הצלחתי להתבדח בשום דבר שהגשתי לבית המשפט."
238,"So I was like, hey, this would actually be a case where I could do that.","אז חשבתי, היי, זה באמת יהיה מקרה שבו אני יכול לעשות את זה."
239,"That said, he's a real intellectual property lawyer.","עם זאת, הוא עורך דין קניין רוחני אמיתי."
240,"He's defended the toy company Wham-O, won an important case against Panasonic.","הוא הגן על חברת הצעצועים Wham-O, זכה בתיק חשוב נגד פנסוניק."
241,"And for Andrew, the case was a one banana problem.","ועבור אנדרו, המקרה היה בעיה של בננה אחת."
242,He answered Naruto's complaint with a motion to dismiss the case.,הוא ענה לתלונתו של נארוטו בבקשה לבטל את התיק.
243,"Monkeys, he said, do not have standing to sue in federal court.","לקופים, אמר, אין סמכות לתבוע בבית משפט פדרלי."
244,His argument is based on a precedent set in 2004 in a case called Cetacean Community v George W.,הטיעון שלו מבוסס על תקדים שנקבע בשנת 2004 בתיק בשם Cetacean Community v George W.
245,"Bush, in which all the world's whales, porpoises, and dolphins sued the president.","בוש, שבו תבעו את הנשיא כל הלווייתנים, החזירונים והדולפינים בעולם."
