word_idx,sentence_id,language,target_text,components,span_start,span_end,pseudo_sentence,quality_flag
59,13,ar,أسنان,أسنان,4,5,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
60,13,ar,عرض,عرض,5,6,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
61,13,ar,أسنان,أسنان,6,7,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
62,13,ar,التحديق,التحديق,7,8,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
63,13,ar,وجه,وجه,8,9,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
64,13,ar,أسرار,أسرار,9,10,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
65,13,ar,قادر,قادر,10,11,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
66,13,ar,جيد,جيد,11,12,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
67,13,ar,التصوير الفوتوغرافي,التصوير | الفوتوغرافي,12,14,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
68,13,ar,تحضير,تحضير,14,15,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,pseudo_sentence_word_context
69,13,ar,حيوان,حيوان,15,16,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,isolated_word_fallback_span_out_of_range
70,13,ar,هادئ,هادئ,16,17,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,isolated_word_fallback_span_out_of_range
71,13,ar,ركلة,ركلة,17,18,يعرف يعرف قليلاً قليلاً قرد قرد آداب السلوك عرض تقديمي أسنان عرض أسنان التحديق وجه,isolated_word_fallback_span_out_of_range
72,14,ar,مطلوب,مطلوب,0,1,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
73,14,ar,ممتلىء,ممتلىء,1,2,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
74,14,ar,وجه,وجه,2,3,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
75,14,ar,لَوحَة,لَوحَة,3,4,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
76,14,ar,عدسة,عدسة,4,5,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
77,14,ar,وقت,وقت,5,6,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
78,14,ar,أخذ,أخذ,6,7,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
79,14,ar,ركلة,ركلة,7,8,أسرار قادر جيد التصوير الفوتوغرافي تحضير حيوان هادئ,pseudo_sentence_word_context
80,15,ar,القرود,القرود,0,1,ركلة مطلوب ممتلىء وجه لَوحَة عدسة,pseudo_sentence_word_context
81,15,ar,ينظر,ينظر,1,2,ركلة مطلوب ممتلىء وجه لَوحَة عدسة,pseudo_sentence_word_context
82,15,ar,أيام,أيام,2,3,ركلة مطلوب ممتلىء وجه لَوحَة عدسة,pseudo_sentence_word_context
83,15,ar,المكالمات الفائتة,المكالمات | الفائتة,3,5,ركلة مطلوب ممتلىء وجه لَوحَة عدسة,pseudo_sentence_word_context
84,15,ar,تم التغيير,تم | التغيير,5,7,ركلة مطلوب ممتلىء وجه لَوحَة عدسة,isolated_word_fallback_span_out_of_range
85,15,ar,الاستراتيجيات,الاستراتيجيات,7,8,ركلة مطلوب ممتلىء وجه لَوحَة عدسة,isolated_word_fallback_span_out_of_range
86,16,ar,يضع,يضع,0,1,وقت أخذ ركلة القرود ينظر,pseudo_sentence_word_context
87,16,ar,آلة تصوير,آلة | تصوير,1,3,وقت أخذ ركلة القرود ينظر,pseudo_sentence_word_context
88,16,ar,حامل ثلاثي القوائم,حامل | ثلاثي | القوائم,3,6,وقت أخذ ركلة القرود ينظر,isolated_word_fallback_span_out_of_range
89,16,ar,رمي,رمي,6,7,وقت أخذ ركلة القرود ينظر,isolated_word_fallback_span_out_of_range
90,16,ar,ملفات تعريف الارتباط,ملفات | تعريف | الارتباط,7,10,وقت أخذ ركلة القرود ينظر,isolated_word_fallback_span_out_of_range
91,17,ar,يحاول,يحاول,0,1,أيام المكالمات الفائتة تم التغيير الاستراتيجيات,pseudo_sentence_word_context
92,17,ar,إغراء,إغراء,1,2,أيام المكالمات الفائتة تم التغيير الاستراتيجيات,pseudo_sentence_word_context
93,17,ar,القرود,القرود,2,3,أيام المكالمات الفائتة تم التغيير الاستراتيجيات,pseudo_sentence_word_context
94,17,ar,يأمل,يأمل,3,4,أيام المكالمات الفائتة تم التغيير الاستراتيجيات,pseudo_sentence_word_context
95,17,ar,فضولي,فضولي,4,5,أيام المكالمات الفائتة تم التغيير الاستراتيجيات,pseudo_sentence_word_context
96,17,ar,آلة تصوير,آلة | تصوير,5,7,أيام المكالمات الفائتة تم التغيير الاستراتيجيات,isolated_word_fallback_span_out_of_range
97,18,ar,يبدأ,يبدأ,0,1,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
98,18,ar,الدفع,الدفع,1,2,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
99,18,ar,فضولي,فضولي,2,3,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
100,18,ar,الدفع,الدفع,3,4,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
101,18,ar,مُرفَق,مُرفَق,4,5,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
102,18,ar,كابل,كابل,5,6,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
103,18,ar,نهاية,نهاية,6,7,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
104,18,ar,آلة تصوير,آلة | تصوير,7,9,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
105,18,ar,القرود,القرود,9,10,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
106,18,ar,أعجبني,أعجبني,10,11,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
107,18,ar,بدأ,بدأ,11,12,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
108,18,ar,يلعب,يلعب,12,13,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,pseudo_sentence_word_context
109,18,ar,يضع,يضع,13,14,يضع آلة تصوير حامل ثلاثي القوائم رمي ملفات تعريف الارتباط يحاول إغراء القرود,isolated_word_fallback_span_out_of_range
110,19,ar,الجنيات,الجنيات,0,1,يأمل فضولي آلة تصوير يبدأ الدفع,pseudo_sentence_word_context
111,19,ar,القتال,القتال,1,2,يأمل فضولي آلة تصوير يبدأ الدفع,pseudo_sentence_word_context
112,19,ar,بالطبع,بالطبع,2,3,يأمل فضولي آلة تصوير يبدأ الدفع,pseudo_sentence_word_context
113,19,ar,خارج,خارج,3,4,يأمل فضولي آلة تصوير يبدأ الدفع,pseudo_sentence_word_context
114,19,ar,ينظر,ينظر,4,5,يأمل فضولي آلة تصوير يبدأ الدفع,pseudo_sentence_word_context
115,19,ar,عدسة,عدسة,5,6,يأمل فضولي آلة تصوير يبدأ الدفع,pseudo_sentence_word_context
116,20,ar,حقيقة,حقيقة,0,1,فضولي,pseudo_sentence_word_context
117,21,ar,ذاهب,ذاهب,0,1,الدفع,pseudo_sentence_word_context
118,22,ar,قرد,قرد,0,1,مُرفَق كابل نهاية آلة تصوير,pseudo_sentence_word_context
119,22,ar,لغة,لغة,1,2,مُرفَق كابل نهاية آلة تصوير,pseudo_sentence_word_context
120,22,ar,تم فصله من العمل,تم | فصله | من | العمل,2,6,مُرفَق كابل نهاية آلة تصوير,isolated_word_fallback_span_out_of_range
121,22,ar,عدد قليل,عدد | قليل,6,8,مُرفَق كابل نهاية آلة تصوير,isolated_word_fallback_span_out_of_range
122,22,ar,لقطات,لقطات,8,9,مُرفَق كابل نهاية آلة تصوير,isolated_word_fallback_span_out_of_range
123,23,ar,تم اختباره,تم | اختباره,0,2,القرود أعجبني,pseudo_sentence_word_context
124,23,ar,سيء,سيء,2,3,القرود أعجبني,isolated_word_fallback_span_out_of_range
125,24,ar,بعض,بعض,0,1,بدأ يلعب يضع الجنيات القتال,pseudo_sentence_word_context
126,24,ar,ركز,ركز,1,2,بدأ يلعب يضع الجنيات القتال,pseudo_sentence_word_context
127,24,ar,تم التعديل,تم | التعديل,2,4,بدأ يلعب يضع الجنيات القتال,pseudo_sentence_word_context
128,24,ar,إعدادات,إعدادات,4,5,بدأ يلعب يضع الجنيات القتال,pseudo_sentence_word_context
129,24,ar,يضع,يضع,5,6,بدأ يلعب يضع الجنيات القتال,isolated_word_fallback_span_out_of_range
130,25,ar,آلة تصوير,آلة | تصوير,0,2,بالطبع خارج ينظر عدسة,pseudo_sentence_word_context
131,25,ar,القرود,القرود,2,3,بالطبع خارج ينظر عدسة,pseudo_sentence_word_context
132,25,ar,الجميع,الجميع,3,4,بالطبع خارج ينظر عدسة,pseudo_sentence_word_context
133,25,ar,مشروع,مشروع,4,5,بالطبع خارج ينظر عدسة,isolated_word_fallback_span_out_of_range
134,26,ar,حقيقة,حقيقة,0,1,حقيقة ذاهب قرد لغة,pseudo_sentence_word_context
135,26,ar,بعض,بعض,1,2,حقيقة ذاهب قرد لغة,pseudo_sentence_word_context
136,26,ar,متحمس,متحمس,2,3,حقيقة ذاهب قرد لغة,pseudo_sentence_word_context
137,26,ar,طرق,طرق,3,4,حقيقة ذاهب قرد لغة,pseudo_sentence_word_context
138,27,ar,حامل ثلاثي القوائم,حامل | ثلاثي | القوائم,0,3,تم فصله من العمل عدد قليل لقطات,pseudo_sentence_word_context
139,27,ar,شرط,شرط,3,4,تم فصله من العمل عدد قليل لقطات,pseudo_sentence_word_context
140,27,ar,معدة,معدة,4,5,تم فصله من العمل عدد قليل لقطات,pseudo_sentence_word_context
141,27,ar,التمدد,التمدد,5,6,تم فصله من العمل عدد قليل لقطات,pseudo_sentence_word_context
142,27,ar,ذراع,ذراع,6,7,تم فصله من العمل عدد قليل لقطات,pseudo_sentence_word_context
143,27,ar,مستقر,مستقر,7,8,تم فصله من العمل عدد قليل لقطات,isolated_word_fallback_span_out_of_range
144,27,ar,حامل ثلاثي القوائم,حامل | ثلاثي | القوائم,8,11,تم فصله من العمل عدد قليل لقطات,isolated_word_fallback_span_out_of_range
145,28,ar,أصابع,أصابع,0,1,تم اختباره,pseudo_sentence_word_context
146,28,ar,عدد قليل,عدد | قليل,1,3,تم اختباره,isolated_word_fallback_span_out_of_range
147,29,ar,آخر,آخر,0,1,سيء بعض ركز,pseudo_sentence_word_context
148,29,ar,القرود,القرود,1,2,سيء بعض ركز,pseudo_sentence_word_context
149,29,ar,انتبه,انتبه,2,3,سيء بعض ركز,pseudo_sentence_word_context
150,30,ar,غريب,غريب,0,1,تم التعديل إعدادات يضع آلة تصوير,pseudo_sentence_word_context
151,30,ar,جديد,جديد,1,2,تم التعديل إعدادات يضع آلة تصوير,pseudo_sentence_word_context
152,30,ar,صديق,صديق,2,3,تم التعديل إعدادات يضع آلة تصوير,pseudo_sentence_word_context
153,30,ar,كذب,كذب,3,4,تم التعديل إعدادات يضع آلة تصوير,pseudo_sentence_word_context
154,30,ar,ممتلىء,ممتلىء,4,5,تم التعديل إعدادات يضع آلة تصوير,pseudo_sentence_word_context
155,30,ar,أرضية,أرضية,5,6,تم التعديل إعدادات يضع آلة تصوير,pseudo_sentence_word_context
156,31,ar,قفز,قفز,0,1,القرود الجميع مشروع,pseudo_sentence_word_context
157,31,ar,القرود,القرود,1,2,القرود الجميع مشروع,pseudo_sentence_word_context
158,31,ar,محاولة,محاولة,2,3,القرود الجميع مشروع,pseudo_sentence_word_context
159,32,ar,احتياطي,احتياطي,0,1,حقيقة بعض متحمس,pseudo_sentence_word_context
160,32,ar,آلة تصوير,آلة | تصوير,1,3,حقيقة بعض متحمس,pseudo_sentence_word_context
161,32,ar,طرق,طرق,3,4,حقيقة بعض متحمس,isolated_word_fallback_span_out_of_range
162,33,ar,القرود,القرود,0,1,طرق حامل ثلاثي القوائم,pseudo_sentence_word_context
163,33,ar,محاولة,محاولة,1,2,طرق حامل ثلاثي القوائم,pseudo_sentence_word_context
164,33,ar,القرود,القرود,2,3,طرق حامل ثلاثي القوائم,pseudo_sentence_word_context
165,33,ar,محاولة,محاولة,3,4,طرق حامل ثلاثي القوائم,pseudo_sentence_word_context
166,34,ar,يلعب,يلعب,0,1,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
167,34,ar,فجأة,فجأة,1,2,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
168,34,ar,مسموع,مسموع,2,3,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
169,34,ar,آلة تصوير,آلة | تصوير,3,5,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
170,34,ar,ذاهب,ذاهب,5,6,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
171,34,ar,لا,لا,6,7,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
172,34,ar,تحدّي,تحدّي,7,8,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
173,34,ar,معرفة,معرفة,8,9,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,pseudo_sentence_word_context
174,34,ar,ينظر,ينظر,9,10,شرط معدة التمدد ذراع مستقر حامل ثلاثي القوائم أصابع,isolated_word_fallback_span_out_of_range
175,35,ar,ينظر,ينظر,0,1,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
176,35,ar,يُمكَِن,يُمكَِن,1,2,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
177,35,ar,يكتب,يكتب,2,3,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
178,35,ar,ينظر,ينظر,3,4,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
179,35,ar,يرى,يرى,4,5,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
180,35,ar,معلم سياحي,معلم | سياحي,5,7,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
181,35,ar,مدهش,مدهش,7,8,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
182,35,ar,مشوه,مشوه,8,9,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
183,35,ar,وجوه,وجوه,9,10,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
184,35,ar,عواء,عواء,10,11,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
185,35,ar,الجنيات,الجنيات,11,12,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,pseudo_sentence_word_context
186,35,ar,مبتسماً,مبتسماً,12,13,عدد قليل آخر القرود انتبه غريب جديد صديق كذب ممتلىء أرضية قفز,isolated_word_fallback_span_out_of_range
187,36,ar,هنا,هنا,0,1,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
188,36,ar,القرود,القرود,1,2,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
189,36,ar,أخذ,أخذ,2,3,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
190,36,ar,صورة سيلفي,صورة | سيلفي,3,5,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
191,36,ar,مدهش,مدهش,5,6,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
192,36,ar,جميل,جميل,6,7,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
193,36,ar,غريب,غريب,7,8,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
194,36,ar,صورة سيلفي,صورة | سيلفي,8,10,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
195,36,ar,مطلوب,مطلوب,10,11,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,pseudo_sentence_word_context
196,36,ar,يذهب,يذهب,11,12,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,isolated_word_fallback_span_out_of_range
197,36,ar,وقف,وقف,12,13,القرود محاولة احتياطي آلة تصوير طرق القرود محاولة القرود محاولة يلعب,isolated_word_fallback_span_out_of_range
198,37,ar,يفحص,يفحص,0,1,فجأة مسموع آلة تصوير ذاهب,pseudo_sentence_word_context
199,37,ar,عمل,عمل,1,2,فجأة مسموع آلة تصوير ذاهب,pseudo_sentence_word_context
200,37,ar,مخصص,مخصص,2,3,فجأة مسموع آلة تصوير ذاهب,pseudo_sentence_word_context
201,37,ar,لقطات,لقطات,3,4,فجأة مسموع آلة تصوير ذاهب,pseudo_sentence_word_context
202,37,ar,ثابت,ثابت,4,5,فجأة مسموع آلة تصوير ذاهب,pseudo_sentence_word_context
203,38,ar,قديم,قديم,0,1,لا تحدّي,pseudo_sentence_word_context
204,38,ar,كل يوم,كل | يوم,1,3,لا تحدّي,isolated_word_fallback_span_out_of_range
205,39,ar,صورة سيلفي,صورة | سيلفي,0,2,معرفة ينظر ينظر,pseudo_sentence_word_context
206,39,ar,رجل,رجل,2,3,معرفة ينظر ينظر,pseudo_sentence_word_context
207,39,ar,نادي رياضي,نادي | رياضي,3,5,معرفة ينظر ينظر,isolated_word_fallback_span_out_of_range
