sentence_id,sentence
38,ولم أجرؤ.
39,كنت أعلم أنني إذا نظرت إليهم، فربما سينظرون بعيداً.
40,لذا تركتهم يضغطون عليه، ويضغطون، ويضغطون.
41,ونظرت بعناية شديدة لأرى وجوههم المُعبّرة المذهلة، كالأفواه العاوية، والأفواه المبتسمة، والمزيد.
42,كانت القردة تلتقط صور سيلفي مذهلة وجميلة وغريبة.
43,أردت فقط أن يستمر ذلك إلى الأبد.
44,عندما وقف ديفيد أخيراً وفحص عملهم، رأى أن الصور لم تكن مجرد سيلفي عادية.
45,لم تكن كذلك الرجل في الصالة الرياضية يصور عضلاته في المرآة.
46,كانت هذه صوراً على مستوى آخر، جيدة بشكل متعالٍ.
47,إنها تتخطى حدود السيلفي بطريقة ما وتدخل عالم الفن.
48,كانت هناك لقطة واحدة بالذات لفتت انتباه ديفيد.
49,وجه القرد قريب جداً من الكاميرا وينظر مباشرة إلى العدسة.
50,شعره مرتب بشكل مثالي.
51,عيون ودية، كبيرة ومستديرة وعنبرية.
52,كل هذه تفاصيل جميلة، والتفاصيل مهمة.
53,لكن محور هذه السيلفي، الحدث الرئيسي، هو ابتسامة القرد الراضية، أسنان أكبر من فمه بفراغات بينها، ابتسامة حقيقية، كأنه يعلم أنه يبتسم لصورة.
54,رأيتها للتو على غلاف ناشيونال جيوغرافيك أو شيء من هذا القبيل.
55,وفكرت فقط، أحتاج إلى إيصال هذا لوكلائي.
56,أصدر ديفيد ووكلاؤه بياناً صحفياً حول صور السيلفي.
57,اعتقدوا أنهم يستطيعون جذب انتباه الناس بالصور ثم استغلال الفرصة لإرسال رسالة حول الحفاظ على البيئة.
58,وأيضاً أرادوا بيع الصور، بالطبع.
59,هذه القردة، مكاك أسود مُعرَّف، تُعتبر في خطر انقراض حرج، وهو خطوة واحدة قبل الانقراض في البرية.
60,لقد فقدوا 80 بالمئة من تعدادهم في الأربعين سنة الماضية بسبب البشر، وهذا هو سبب ذهاب ديفيد إلى إندونيسيا أساساً.
61,أراد التقاط صور تُلهمنا نحن البشر للاهتمام أكثر بهذه القردة الصغيرة، لإيقاف قتلها.
62,لم تنتهِ صور السيلفي على غلاف ناشيونال جيوغرافيك، لكن الصحف الشعبية البريطانية أبدت اهتماماً.
63,كانت الديلي ميل أول صحيفة تنشر القصة عن صور السيلفي.
64,كان هذا في عام 2011.
65,في غضون ساعة، انتشرت في كل مكان، أمريكا، أستراليا، ألمانيا.
66,كنت أتلقى رسائل إلكترونية من كل مكان.
67,اجتاح صندوق الوارد الجنون.
68,الناس يريدون معرفة القصة، يريدون استخدام الصورة.
69,حرفياً، كان هاتفي ساخناً من المكالمات.
70,على مدى الأشهر القليلة التالية، بيعت صور سيلفي القرد بشكل جيد.
71,كان ديفيد يرخّصها للمنشورات ويبيع المطبوعات.
72,ثم في يوم ما، دخل الإنترنت للبحث عن القردة.
73,بدأت فقط بالبحث عن المكاك الأسود المُعرَّف يوماً ما في جوجل.
74,وكانت ويكيبيديا هناك، في أعلى القائمة كالعادة.
75,نقرت عليها، وإذا بصورتي هناك.
76,وفكرت، من أين حصلوا على هذا؟
77,هل ذهبوا إلى وكالة كيترز للأخبار ودفعوا رسوم ترخيص؟
78,لم يفعلوا.
79,لذا أرسلت إليهم خطاباً.
80,أرسلت إليهم خطاباً أقول فيه، أعتقد أنكم تستخدمون هذا دون رسوم ترخيص.
81,هل يمكنكم إظهار ترخيص، أو هل ستدفعون؟
82,ردوا قائلين، نعتقد أن هذه الصورة ملك عام.
83,بمعنى آخر، يمكن لأي شخص استخدامها دون إذن ديفيد، مجاناً.
84,بالنسبة لديفيد، كان هذا مجرد سرقة.
85,إنه يعيش من بيع صوره.
86,لذا كان من المفيد حقاً امتلاك صورة بهذا النجاح.
87,لكن الآن، يمكن لأي شخص تنزيلها من ويكيبيديا وتعليقها على الجدار أو طباعتها في منشوراتهم.
88,رأي ويكيبيديا أن المعلومات على الإنترنت يجب أن تكون مجانية.
89,وسرعان ما علم ديفيد أنهم قرروا أن صورة السيلفي في الملك العام.
90,لأن القرد ضغط على الزر.
91,لذا فالقرد هو المنشئ التقني للصورة.
92,لكن وفق تقييم ويكيبيديا، لا يمكن للقردة امتلاك حقوق نشر.
93,ومن ثَمّ، الصورة مجانية ومتاحة للجميع.
94,إنها ملك للإنترنت.
95,كان ديفيد في حيرة.
96,فكّر.
97,حسناً، بالتأكيد لدي حقوق النشر.
98,أنا من نظّم كل شيء.
99,لديّ النية.
100,لديّ الإبداع.
101,كل ما فعله القرد هو الضغط على الزر.
102,"تضمنت ويكيبيديا ملاحظة أسفل الصورة تقول: ""هذا الملف في الملك العام لأنه عمل حيوان غير بشري وليس له مؤلف بشري تُودَع فيه حقوق النشر."" هذا القرار من ويكيبيديا، بإعلان الصورة ملكاً عاماً، كان الطلقة الأولى في معركة سيلفي القرد القادمة."
103,كانت اللحظة التي دُفعت فيها الطبيعة جانباً، وجلست الطبيعة البشرية بأمتعتها المثقلة من القوانين والآراء والهيمنة.
104,شنّ ديفيد هجومه، وجمع فريقاً من المحامين، وتعمّق في دراسة قانون حقوق النشر.
105,بل بحث حتى عن مستثمرين مغامرين لتمويل دعوى قضائية ضد ويكيبيديا.
106,مؤسسة ويكيميديا، التي تمتلك ويكيبيديا، أدارت له ظهرها ببساطة.
107,كان هذا في مؤتمرهم الكبير في لندن.
108,يُسمى ويكيمانيا.
109,كان أحد المؤسسين، جيمي ويلز، حاضراً.
110,سرعان ما علمت من الويكيبيديين الطيبين هناك أن جيمي ويلز وكثيراً من المندوبين كانوا يسخرون مني بطباعة صورتي على لوحات كبيرة وضعوها في أنحاء قاعة المؤتمر.
111,وكان جيمي ويلز وأشخاص آخرون يشجعون المندوبين على التقاط سيلفي مع سيلفيتي.
112,هذا مجرد خُبث.
113,هناك كثير من هذه الصور على الإنترنت، لكن الصورة مع جيمي ويلز مثيرة للاشمئزاز بشكل خاص.
114,انتظر.
115,أريد البحث عن ذلك بسرعة هنا.
116,تمهل.
117,نعم.
118,سيلفي جيمي ويلز مع القرد.
119,جيمي ويلز ويكيمانيا.
120,ها نحن ذا.
121,آه، نعم.
122,انظر إلى ذلك.
123,إذا كتبت سيلفي جيمي ويلز مع القرد في جوجل، ستجد صورة لرجل بالغ يحمل هاتفه بيد وسيلفي القرد باليد الأخرى بجانب وجهه.
124,وشفتاه مُجعَّدتان كالبطة.
125,يبدو سخيفاً.
126,الآن، هل ذلك الوجه الذي يصنعه هو.
127,حسناً، إنه كوجه البطة.
128,لا أعرف من أين يأتي ذلك.
129,أنا أيضاً لا أعرف.
130,لكن يبدو أن كثيراً من الناس يفعلون شفاه البطة هذه.
131,كيف شعرت حين رأيت سيلفي جيمي ويلز مع سيلفي قردك؟
132,غاضب جداً.
133,كان ديفيد يقاتل جالوت.
134,ثم في يوم ما، اتخذت المعركة أبعاداً ملحمية جديدة.
135,كان كأن كينج كونج دخل إلى الساحة، وعلى ديفيد الآن محاربته أيضاً.
136,ولّد النزاع مع ويكيميديا بعض التغطية الإعلامية في المملكة المتحدة.
137,وفي يوم ما، كانت زوجة ديفيد متصلة بالإنترنت.
138,وإذا بها هناك.
139,مصور يُقاضَى من قِبَل قرد.
140,اكتشفت أن القرد يقاضيك لأن زوجتك وجدت ذلك على الإنترنت.
141,نعم.
142,تماماً كما اكتشفت أن ويكيبيديا تسرقها لأنني عثرت على ذلك صدفة، عثرت أيضاً على حقيقة أنني أُقاضَى من قِبَل قرد.
143,القرد في صور السيلفي كان يقاضيه بتهمة انتهاك حقوق النشر بمساعدة منظمة بيتا، منظمة الأشخاص من أجل المعاملة الأخلاقية للحيوانات.
144,اتصل ديفيد بمحاميه وقال.
145,انظر.
146,هل رأيت ما يحدث الآن؟
147,ماذا يمكننا أن نفعل؟
148,وقالوا، ديف، هذا بوضوح مقلب في الأول من أبريل.
149,شخص ما يخدعك.
150,قالوا، فقط اجلس واسترح.
151,دعنا نرى ما سيحدث.
152,لكن لا تردّ عليه.
153,وليس عليك القلق بشأن أي شيء حتى تُسلَّم إليك الوثائق.
154,دعنا نرى ما سيحدث.
155,صحيح.
156,وبالفعل، في أحد بعد الظهر كنت في البيت.
157,وإذا بطرق على الباب.
158,ورجل ببدلة سوداء كان يقف في مدخل بيتي.
159,فتحت الباب.
160,دفع إليّ مغلفاً أبيض كبير بحجم A4.
161,وقال، تلقيت تعليمات بتسليمك هذه.
162,فقلت، ما هذه؟
163,وفتحته أمامه.
164,وأخذته.
165,وقلت له، هل تعرف ما هذا؟
166,فقال، ليس تماماً.
167,قلت، يقاضيني قرد.
168,وأريته.
169,وبدأ يضحك.
170,وتحدثنا قليلاً.
171,لأنه كان مجرد شخص محلي من شركة محلية قريبة مني.
172,وذهب في طريقه بسعادة.
173,قرأت الشكوى.
174,إنها غريبة بعض الشيء.
175,تتصفح صفحات وصفحات من اللغة القانونية حول قانون حقوق النشر.
176,وفي النهاية حين تصل إلى المرفقات، لا تجد سوى حفنة من سيلفيات القردة، مبتسمة، جادة، عاوية، كوثيقة قانونية أعدّها جورج الفضولي.
177,القرد، الذي يُدعى ناروتو، كان يقاضي ديفيد عبر أصدقائه المقربين، منظمة بيتا.
178,القضية تُسمى رسمياً: ناروتو، مكاك مُعرَّف، بواسطة أصدقائه المقربين، منظمة الأشخاص من أجل المعاملة الأخلاقية للحيوانات المحدودة، ضد ديفيد جون سلاتر، فرد.
179,في اللغة القانونية، الصديق المقرب وضع مشابه للوصي.
180,عندما لا يستطيع شخص تمثيل نفسه في المحكمة، يمكن للصديق المقرب التدخل نيابة عنه.
181,هذا تماماً كما لو كان طفلاً أو بالغاً معاقاً لا يستطيع التكلم أو تمثيل نفسه.
182,أرى.
183,هذا ليس غريباً في القانون البشري.
184,تشتهر منظمة بيتا بتنفيذ مقالب لجذب الانتباه إلى معاناة الحيوانات.
185,في إحدى المرات، ألقوا روث الخيل على الرصيف خارج مطعم غوردون رامزي في لندن بعد أن صنع أحد ضيوف برنامجه الطهوي طبقاً بلحم الخيل.
186,صنعوا كتاب قصص مصورة يُسمى أمك تقتل الحيوانات ووزعوه على الأمهات اللواتي كنّ يرتدين معاطف الفراء في عروض كسارة البندق.
187,أطلقوا حملة لتغيير كلمة سمك إلى قطط البحر حتى يربط الناس المأكولات البحرية بقططهم اللطيفة ويتوقفوا عن أكلها، أعني السمك.
188,لكن جيف كير، المستشار العام لمنظمة بيتا، يقول إن قضية سيلفي القرد ليست من هذه المقالب.
189,رأينا سيلفي القرد لأول مرة في حوالي عام 2014 عندما أصبح النزاع بين السيد سلاتر وويكيميديا خبراً دولياً.
190,كان رأينا فوراً أن ناروتو، الذي التقط الصورة، يجب أن يمتلك حقوق نشرها.
191,رأى جيف النزاع على النحو التالي: هذا المصور يريد مقاضاة ويكيميديا، وويكيميديا تدّعي أن الصورة في الملك العام.
192,لكن من يدافع عن القرد؟
193,هذا ما يقوله القانون.
194,وحجتنا، ببساطة شديدة، هي أن ذلك ينبغي أن ينطبق عليه بالمثل، رغم أنه لم يُولَد بشراً.
195,لكن القرد بالتأكيد لم يفكر، الآن هذا رائع.
196,لديّ كاميرا في يدي.
197,سألتقط بعض الصور وأحدّث ملفي على بامبل بما أحصل عليه.
198,القرد لا يفكر في الأمر على أنه، أنا ألتقط صورة هنا.
199,لكن هذا غير مطلوب بموجب قانون حقوق النشر.
200,كل ما هو مطلوب هو أن ينص قانون حقوق النشر ببساطة على أن المؤلف، منشئ الصورة، يحق له امتلاكها.
201,لا يقول إن المؤلف يجب أن يعلم أنه يلتقط صورة.
202,إذا أعطاك أحدهم كاميرته وطلب منك التقاط صورة، ورتّبت وضعهم والتقطت الصورة، في هذه الظروف، ستمتلك تقنياً حقوق النشر.
203,هناك نحو 20 سائحاً فرنسياً أحتاج إلى مقاضاتهم.
204,بيتا منظمة أمريكية.
205,وكان من المقرر أن تُنظر القضية في محكمة فيدرالية في سان فرانسيسكو.
206,تحدث ديفيد إلى محاميه في إنجلترا.
207,وأخبروه أنه يحتاج إلى توظيف محامٍ أمريكي والقتال في هذه القضية.
208,نُصحت بعد التحدث إلى هؤلاء المحامين بأنني بحاجة فعلاً إلى متابعة هذا، لأن هناك احتمالاً، وإن كان بعيداً، بأن تسير الأمور لصالح القرد إذا لم أُعارض ذلك.
209,سيفوز القرد؟
210,نعم.
211,حسناً، كانت في المحكمة في كاليفورنيا.
212,والجميع يعتقد أن أي شيء يمكن أن يحدث هناك.
213,لا أعرف مدى صحة ذلك.
214,لكن قيل لي إنني لا أستطيع المجازفة بذلك.
215,لكن بالطبع.
216,هل زرت كاليفورنيا؟
217,حسناً، لا.
218,إنه صحيح نوعاً ما.
219,استأجر ديفيد أندرو دوي لتمثيله.
220,هل تتذكر متى سمعت عن القضية لأول مرة؟
221,هل كان حين اتصل بك ديفيد؟
222,هكذا سمعت عنها لأول مرة؟
223,لا، قرأت عنها.
224,ولا أتذكر أين قرأت عنها.
225,لكنني شعرت بحماس كبير حين رأيت أنها رُفعت في المحكمة الفيدرالية في سان فرانسيسكو لأنني مقيم على الجانب الآخر من الخليج في بيركلي.
226,فكرت، رائع، سأكون مثالياً لهذه القضية.
227,أندرو محامٍ متخصص في الملكية الفكرية.
228,يعمل لحسابه الخاص.
229,وحين قرأ عن القضية، تواصل مع ديفيد ليسأل إن كان يستطيع الأخذ بها.
230,لماذا اعتقدت أنك مثالي لهذه القضية؟
231,حسناً، أعتقد أن القضية أتاحت المجال لتوريات على القردة وأمثالها.
232,وفكرت فقط أن ذلك كان سيكون، أنا أحب فعل ذلك.
233,أحب المزاح.
234,لا أعرف إن رأيت ملفي على لينكدإن.
235,أنا بزي تشيبينديلز.
236,لصورة لينكدإن الخاصة به، اختار أندرو صورة له يرتدي فيها نظارة وربطة عنق فراشية ولا شيء آخر.
237,طوال هذه السنوات كنت أمارس المحاماة نحو 25 سنة، ولم أتمكن قط من المزاح في أي شيء قدمته للمحكمة.
238,فكنت أقول لنفسي، مرحباً، هذه في الواقع قضية يمكنني فيها فعل ذلك.
239,مع ذلك، هو محامٍ حقيقي في الملكية الفكرية.
240,دافع عن شركة الألعاب وام-أو وفاز في قضية مهمة ضد باناسونيك.
241,وبالنسبة لأندرو، كانت القضية مشكلة موزة واحدة.
242,ردّ على شكوى ناروتو بطلب رفض القضية.
243,القردة، قال، ليس لها صفة لمقاضاة في المحكمة الفيدرالية.
244,حجته مستندة إلى سابقة قُررت عام 2004 في قضية تُسمى مجتمع الحيتانيات ضد جورج دبليو.
245,بوش، حيث قاضت جميع حيتان العالم وخنازير البحر والدلافين الرئيس.
246,جميع حيتان العالم وخنازير البحر والدلافين ادّعت أن استخدام الجيش للسونار تحت الماء كان يضرها ويغير سلوكها الطبيعي كالأكل والتزاوج.
247,في الأساس، السونار مجرد موجة صوتية شديدة الصخب.
248,إذن الحيتانيات، وهي كلمة علمية لفئة من الثدييات البحرية، تفر حين تسمع السونار، وأحياناً تضرب نفسها للهروب.
249,في تلك القضية، قررت محكمة الاستئناف للدائرة التاسعة أنه ما لم يُصرّح الكونغرس بخلاف ذلك، لا يحق للحيوانات المقاضاة في المحكمة الفيدرالية.
250,إذن هذه هي القضية التي أشار إليها أندرو في دفاعه.
251,لكن بيتا استأجرت محامياً خارجياً لتمثيل القرد ناروتو في المحكمة، رجل يُدعى ديفيد شوارتز.
252,هذا الشخص، شوارتز، يأتي من مكتب محاماة فاخر في لوس أنجلوس معروف بقانون الملكية الفكرية.
253,معظم قضيته كانت حجة ملكية فكرية مفادها أن ناروتو هو المالك القانوني لحقوق النشر لأنه من التقط الصورة.
254,لكن بيتا رأت أيضاً في هذه القضية فرصة لدفع القانون وتأسيس سابقة.
255,اختلفوا مع الحكم في قضية الحيتانيات.
256,يؤمنون بأن الحيوانات يجب أن يكون لها حق اللجوء إلى المحاكم.
257,استدعاء القضية المدنية رقم 15-4324، ناروتو ضد ديفيد جون سلاتر وآخرين.
258,المحامون، تفضلوا إلى الأمام وأعلنوا حضوركم.
259,هذا تسجيل من الجلسة في المحكمة الفيدرالية في سان فرانسيسكو.
260,سأل القاضي شوارتز إن كان لديه مثال على منح حيوان حقوق نشر.
261,في التاريخ الواسع للقانون العرفي قبل قانون حقوق النشر، هل لديك مثال على منح حيوان حقوق نشر؟
262,ليس لديّ مثال على منح حيوان حقوق نشر.
263,يمكننا تقديم حجة مضادة حول كيف حُرم بشر آخرون من الحماية بموجب ذلك القانون بسبب لون بشرتهم.
264,يمكن للمرء رؤية التناقض في التفسير القانوني حيث نرى تلك المشكلة في أيام ما قبل الحرب الأهلية.
265,لكن حين تنظر إلى أركان.
266,هذا مبالغ فيه كثيراً يا سيد شوارتز.
267,فقط للتوقف عند هذا لحظة.
268,نعم، شوارتز يُقارن بين غياب حقوق النشر لدى القرد وعبودية الأمتعة، وهو أمر مسيء ويبدو عمياً بشكل غريب عن التاريخ العنصري لمقارنة السود بالقردة.
269,حتى شوارتز يبدو غير مرتاح لذلك.
270,يقول إن حرمان قرد من حق امتلاك الممتلكات بسبب نوعه مثل حرمان البشر من حق امتلاك الممتلكات بسبب لون بشرتهم.
271,هذا مبالغ فيه كثيراً يا سيد شوارتز.
272,عفواً؟
273,هذا مبالغ فيه كثيراً.
274,لكن تفضل.
275,وبالتأكيد لن أجعله محور أي حجة هنا اليوم.
276,لكن من العدل القول إنه قبل اعتماد التعديل الرابع عشر، كانت مفاهيم امتلاك الممتلكات في مجال براءات الاختراع تحول دون قدرة العبد على المطالبة بملكية براءة اختراع.
277,ما يحدث هنا هو أن بيتا ترى قضية سيلفي القرد في سياق هدف نهائي أكبر.
278,إذا استطاعوا إقناع محكمة بالموافقة على أن حرمان قرد من حق امتلاك الممتلكات مثل حرمان إنسان، فهذا يفتح الباب للنظام القانوني لإعادة النظر الكاملة في الوضع القانوني للحيوانات.
279,سيُعلَن عن الحيوان كمالك للممتلكات بدلاً من كونه مجرد ممتلكات.
280,هذه ليست المرة الأولى التي تحاول فيها بيتا حجة كهذه في المحاكم.
281,في عام 2011، قاضوا سيورلد نيابة عن خمس حيتان قاتلة في سيورلد أورلاندو وسيورلد سان دييغو.
282,الحيتان القاتلة ضخمة، يتراوح طولها بين 6 و9 أمتار.
283,وتزن نحو ستة أطنان.
284,تقطع عادة نحو 120 كيلومتراً في اليوم.
285,قالت بيتا إن إبقاء هذه الحيتان القاتلة في سيورلد في أحواض خرسانية صغيرة رغماً عنها لأداء عروض للترفيه البشري كان استعباداً.
286,خسرت بيتا تلك القضية.
287,لكن سيورلد وافقت على إنهاء برنامجها للحيتان القاتلة المستأسرة بعد موت آخر حيتانها السبع والعشرين.
288,لفهم سبب متابعة بيتا لقضايا كهذه، عليك النظر في صورتين مختلفتين جداً لكيفية عمل العالم.
289,في إحداها، البشر في أعلى سلسلة الغذاء، إما لأن الله أراد ذلك، أو لأننا اكتشفنا كيف نستخدم أبهامنا المعاكس بشكل جيد لدرجة أننا نستطيع الصيد والجمع وحرث الأرض وبناء المدن وخلق قوانين حقوق النشر.
290,نحن نضع القواعد لكل شيء آخر في هذا العالم.
291,والصورة الأخرى، وهذه هي التي تعلقها بيتا على جدارها، البشر ليسوا في الأعلى.
292,البشر مجرد ثدييات أخرى تجول على الأرض.
293,وإذا كنا سنمنح أنفسنا حقوقاً معينة كبشر، فعلينا توسيع تلك الحقوق لتشمل الحيوانات المشاركة لنا.
294,أنتم تقولون إن البشر ليسوا متفوقين على الحيوانات الأخرى.
295,نحن لسنا كذلك.
296,نحن مجرد عضو آخر في المملكة الحيوانية.
297,والذي يمنعنا في كثير من الأحيان من رؤية ذلك هو التحيز والغطرسة فقط.
298,هذا جيف كير مجدداً، المستشار العام لمنظمة بيتا.
299,ذلك الوضع كممتلكات شيء نعتبره مجرد رجاسة.
300,مثل ناروتو، هذه الحيوانات كائنات حساسة وواعية.
301,يجب أن تتمتع بحقوق قانونية أساسية تتجاوز مجرد الغذاء والماء والرعاية البيطرية والمأوى.
302,هذه الفكرة القائلة بأن الحيوانات ينبغي أن تتمتع بحقوق قانونية أساسية معترف بها ليست بلا سابقة.
303,قبل ثلاث سنوات في الأرجنتين، منح قاضٍ التماس مثول أمام المحكمة مُقدَّماً نيابة عن أورانغوتان في حديقة حيوان في بوينس آيرس.
304,كانت محتجزة في قفص صغير رديء.
305,قرر القاضي أن للأورانغوتان حقوقاً أساسية كشخص غير بشري، بما فيها حق الحرية.
306,وفي ولاية نيويورك، يناضل محامٍ لحمل المحاكم على الاعتراف بأن شمبانزيين مستأسرين، تومي وكيكو، شخصان غير بشريين يستحقان حقوقاً قانونية كما تحصل الشركات.
307,المسألة هي أن ديفيد سلاتر، المصور الذي يُقاضيه القرد، يتفق مع بيتا في هذه النقطة.
308,في الواقع، كان يدافع عن بيتا لأصدقائه حين كانوا يتذمرون من المقالب.
309,بل عمل ديفيد معهم مرة في حملة لحماية خنازير برية بالقرب من منزله في إنجلترا.
310,إن من أعظم ما يشينهم هو أنهم هاجموا شخصاً يسعى لتحقيق نفس هدفهم.
311,إنقاذ الحيوانات من المعاناة قضية نبيلة للغاية.
312,لكنني أعتقد أحياناً أنهم ينجرفون بقوتهم.
313,هل جعلك كون هذه المجموعة التي هي في صفك هي من يهاجمك أو يعارضك تتوقف وتفكر، حسناً الآن، انتظر لحظة؟
314,هل لديهم نقطة؟
315,لا.
316,اضطررت للتفكير بعناية شديدة في ما هي فلسفتي.
317,لأن الكتاب، كتابي شخصيات الحياة البرية، الذي يُعدّ جزءاً من القضية، أُجادل فيه بأن الحيوانات تستحق حقوقاً أساسية أكثر كالكرامة والوصول إلى غاباتها الأصلية والوصول إلى الطعام.
318,إذن أنا مناصر لحقوق الحيوانات.
319,خسر ناروتو وبيتا الجولة الأولى في المحكمة.
320,اتصل أندرو دوي بديفيد ليخبره بالأخبار.
321,تعاملنا مع الأمر ببساطة.
322,قلنا فقط، نعم، بالطبع.
323,بالطبع ستُرفض.
324,أندرو دوي قال لي هذا طوال الوقت.
325,لا مجال لأن تؤدي هذه القضية إلى أي مكان.
326,ثم قدّم القرد استئنافاً.
327,صباح الخير أيها السادة القضاة.
328,وبرضا المحكمة، ديفيد شوارتز نيابة عن المستأنف.
329,نُظرت القضية أمام ثلاثة قضاة في محكمة الاستئناف للدائرة التاسعة.
330,هذه المحكمة التي حكمت ضد حظر السفر لترامب مرتين هذا العام.
331,هؤلاء القضاة لا يمزحون.
332,وصل شوارتز إلى 30 ثانية من مرافعته الشفهية قبل أن يقاطعه أحد القضاة.
333,يا سيد شوارتز، قبل الوصول إلى هناك، هناك سؤال أولي أودّ منك تناوله.
334,في هذه المرحلة، سيتناقش المحامون والقضاة بشأن السوابق القضائية.
335,والقضاة لديهم كثير من الأسئلة لشوارتز، أولها: ما هو تأهيلك لتكون الصديق المقرب لناروتو؟
336,أنت لا تعرف القرد.
337,ثم بعد دقائق قليلة، يقاطع القاضي راندي سميث شوارتز ليستجوبه عن الأذى.
338,هذا هو المصطلح القانوني للضرر أو الأذى.
339,حسناً، ما هو ضررك؟
340,لا توجد طريقة لاكتساب أو الاحتفاظ بمال تمنحه حقوق النشر.
341,لا يوجد ضرر للسمعة.
342,لا يوجد حتى ادعاء بأن حقوق النشر كانت ستعود بالنفع على ناروتو بأي شكل.
343,ما المنافع المالية التي تنطبق عليه؟
344,لا شيء.
345,لكن سيادة القاضي، مسألة قابلية الانتصاف لا تتوقف بالضرورة على التعويض.
346,يمكن أن يكون.
347,حسناً، أريد معرفة ما هو الضرر إذن.
348,لا توجد قضية تقول إن انتهاك حقوق النشر في حد ذاته يُعدّ ضرراً.
349,إذن ما الضرر الذي لدينا؟
350,مهما كانت مزايا هذه القضية القانونية، هناك شيء ممتع حقاً في سماع المحامين يتداولون مصطلحات كقابلية الانتصاف والتعويض والضرر وهم يتحدثون عن قرد.
351,أعني، إذا أعطيتني قضية تقول إن انتهاك حقوق النشر في حد ذاته يُعدّ ضرراً، سأصدقك.
352,لكنني لا أعتقد أنك أعطيتني واحدة.
353,ما هو ضررك؟
354,تبادل القضاة وشوارتز الحجج حول السوابق القضائية والمصطلح القانوني وتعريف المؤلف لعشرين دقيقة قبل إعطاء الكلمة لمحامي ديفيد أندرو دوي.
355,وبعد سنتين من البحث والإيداعات القانونية والمرافعات الشفهية، يتحقق أخيراً لدوي أمنيته في إلقاء نكتة عن القردة في المحكمة.
356,قرد يرى، قرد يقاضي، لن ينجح ذلك في المحكمة الفيدرالية.
357,بعد ذلك، يمكن تلخيص مرافعاته الشفهية في: يجب عليكم رفض هذه القضية.
358,وهل يمكنكم إلزام بيتا بدفع أتعابي القانونية؟
359,بمجرد انتهاء دوي، تقف أنجيلا دنينج.
360,إنها محامية المدعى عليه المشارك.
361,قاضت بيتا أيضاً شركة النشر الذاتي التي استخدمها ديفيد.
362,لذا تقف أنجيلا دنينج لتقديم دفاعها وهو أيضاً بسيط جداً.
363,لا يمكن لناروتو الاستفادة مالياً من عمله.
364,إنه قرد.
365,لم يكن ديفيد سلاتر في المحكمة في سان فرانسيسكو ذلك اليوم.
