sentence_id,real_sentence_en,real_sentence_ar,pseudo_sentence_ar_from_all_eyal_words
51,"Eyes friendly, big and round and amber.","عيون ودية، كبيرة ومستديرة وعنبرية.",عيون ودي كبير دائري كهرماني
52,"All of which are nice details, and details are important.","كل هذه تفاصيل جميلة، والتفاصيل مهمة.",لطيف - جيد تفاصيل تفاصيل مهم
53,"But the focus of this selfie, the main event, is the monkey's self satisfied grin teeth that are too big for its mouth with gaps between them, a real grin, like he knows he's smiling for a picture.","لكن محور هذه السيلفي، الحدث الرئيسي، هو ابتسامة القرد الراضية، أسنان أكبر من فمه بفراغات بينها، ابتسامة حقيقية، كأنه يعلم أنه يبتسم لصورة.",ركز صورة سيلفي رئيسي قضية القرود أنا راضٍ عن نفسي ابتسامة أسنان كبير هنا الفجوات حقيقي ابتسامة معرفة مبتسماً صورة
54,I just saw it on the front cover of National Geographic or something like that.,رأيتها للتو على غلاف ناشيونال جيوغرافيك أو شيء من هذا القبيل.,رأيت أمام ملزم
55,"And I just thought, I need to get this to my agents.","وفكرت فقط، أحتاج إلى إيصال هذا لوكلائي.",معتقد يحتاج الوكلاء
56,David and his agents put out a press release about the selfies.,أصدر ديفيد ووكلاؤه بياناً صحفياً حول صور السيلفي.,الوكلاء يضع بيان صحفي صورة سيلفي
57,They thought they could grab people's attention with the photos and then use the opportunity to send a message about conservation.,اعتقدوا أنهم يستطيعون جذب انتباه الناس بالصور ثم استغلال الفرصة لإرسال رسالة حول الحفاظ على البيئة.,معتقد يمسك الشعوب انتباه صور يستخدم فرصة يرسل رسالة حفظ
58,"And also they wanted to sell the pictures, of course.","وأيضاً أرادوا بيع الصور، بالطبع.",مطلوب يبيع صور بالطبع
59,"These monkeys, crested black macaques, are considered to be critically endangered, which is just one step before extinct in the wild.","هذه القردة، مكاك أسود مُعرَّف، تُعتبر في خطر انقراض حرج، وهو خطوة واحدة قبل الانقراض في البرية.",القرود أسود قرود المكاك يعتبر مهدد بالانقراض منصة منقرض بري
60,"They've lost 80 percent of their population in the last 40 years because of humans, which is why David went to Indonesia in the first place.","لقد فقدوا 80 بالمئة من تعدادهم في الأربعين سنة الماضية بسبب البشر، وهذا هو سبب ذهاب ديفيد إلى إندونيسيا أساساً.",ضائع شهادة سكان السنوات الأخيرة الجنس البشري مسافر أندونيسيا مكان
61,"He wanted to take photographs that would inspire us humans into caring more about these little monkeys, to stop killing them.","أراد التقاط صور تُلهمنا نحن البشر للاهتمام أكثر بهذه القردة الصغيرة، لإيقاف قتلها.",مطلوب يأخذ صور فوتوغرافية يحفز الجنس البشري هَم بعض القرود قف قتل
62,"The selfies didn't end up on the cover of National Geographic, but the British tabloids were interested.","لم تنتهِ صور السيلفي على غلاف ناشيونال جيوغرافيك، لكن الصحف الشعبية البريطانية أبدت اهتماماً.",صورة سيلفي لا نهاية غطاء بريطاني الصحف الشعبية مهتم
63,The Daily Mail was the first newspaper to publish the story about the selfies.,كانت الديلي ميل أول صحيفة تنشر القصة عن صور السيلفي.,بريد صحيفة انشر قصة صورة سيلفي
64,This was in 2011.,كان هذا في عام 2011.,
65,"Within an hour, it was all over your country, Australia, Germany.","في غضون ساعة، انتشرت في كل مكان، أمريكا، أستراليا، ألمانيا.",وقت ولاية أستراليا ألمانيا
66,I was getting emails everywhere.,كنت أتلقى رسائل إلكترونية من كل مكان.,رسائل البريد الإلكتروني
67,My inbox went crazy.,اجتاح صندوق الوارد الجنون.,صندوق الوارد مجنون
68,"People wanting to know the story, wanted to use the image.","الناس يريدون معرفة القصة، يريدون استخدام الصورة.",الناس يريد يعرف قصة يريد يستخدم صورة
69,"Literally, my phone was hot with calls.","حرفياً، كان هاتفي ساخناً من المكالمات.",هاتف حار المكالمات
70,"Over the next few months, the monkey selfies sold pretty well.","على مدى الأشهر القليلة التالية، بيعت صور سيلفي القرد بشكل جيد.",الأشهر القادمة صورة سيلفي مُباع
71,David was licensing them to publications and selling prints.,كان ديفيد يرخّصها للمنشورات ويبيع المطبوعات.,الترخيص المنشورات أُوكَازيُون مطبوعات
72,"And then one day, he goes online to research the monkeys.","ثم في يوم ما، دخل الإنترنت للبحث عن القردة.",يوم ذاهب بحث القرود
73,I started to just search crested black macaque one day in the Google.,بدأت فقط بالبحث عن المكاك الأسود المُعرَّف يوماً ما في جوجل.,بدأ يبحث أسود قرد المكاك يوم
74,"And there was Wikipedia, top of the list as always.","وكانت ويكيبيديا هناك، في أعلى القائمة كالعادة.",ويكيبيديا رأس قائمة
75,"I clicked on that, and there's my image.","نقرت عليها، وإذا بصورتي هناك.",انقر صورة
76,"And I thought, where have they got this from?","وفكرت، من أين حصلوا على هذا؟",معتقد
77,Have they been to Caters News Agency and paid a license fee for it?,هل ذهبوا إلى وكالة كيترز للأخبار ودفعوا رسوم ترخيص؟,خدمات الطعام وكالة أنباء مدفوع رخصة قسط
78,They had not.,لم يفعلوا.,
79,So I sent them a letter.,لذا أرسلت إليهم خطاباً.,مرسل خطاب
80,"Sent them a letter saying, I think you're using this without a license fee.","أرسلت إليهم خطاباً أقول فيه، أعتقد أنكم تستخدمون هذا دون رسوم ترخيص.",مرسل خطاب الحد الأقصى يفكر خلال رخصة قسط
81,"Could you show me one, or would you pay?","هل يمكنكم إظهار ترخيص، أو هل ستدفعون؟",عرض يدفع
82,"They wrote back, saying, this image we believe is public domain.","ردوا قائلين، نعتقد أن هذه الصورة ملك عام.",كتابة الحد الأقصى صورة يعتقد الملكية العامة
83,"In other words, anyone could use it without David's permission, for free.","بمعنى آخر، يمكن لأي شخص استخدامها دون إذن ديفيد، مجاناً.",كلمات أخرى يستخدم إذن يطلق
84,"To David, that was just stealing.","بالنسبة لديفيد، كان هذا مجرد سرقة.",سرقة
85,He makes a living from selling his pictures.,إنه يعيش من بيع صوره.,يفعل يعيش أُوكَازيُون صور
86,So it was really helpful to have one that was such a hit.,لذا كان من المفيد حقاً امتلاك صورة بهذا النجاح.,متعاون هذه يضرب
87,"But now, anyone could download it from Wikipedia and hang it on their wall or print it in their publication.","لكن الآن، يمكن لأي شخص تنزيلها من ويكيبيديا وتعليقها على الجدار أو طباعتها في منشوراتهم.",تحميل ويكيبيديا يشنق حائط مطبعة دعاية
88,Wikipedia's opinion is that information on the internet should be free.,رأي ويكيبيديا أن المعلومات على الإنترنت يجب أن تكون مجانية.,ويكيبيديا رأي معلومة إنترنت حر
89,And David soon learned that they had decided the selfie was in the public domain.,وسرعان ما علم ديفيد أنهم قرروا أن صورة السيلفي في الملك العام.,باحث مقرر صورة سيلفي الملكية العامة
90,Because the monkey pressed the button.,لأن القرد ضغط على الزر.,قرد خارج زر
91,So the monkey was technically the creator of the photo.,لذا فالقرد هو المنشئ التقني للصورة.,قرد الخالق تصوير
92,"But in Wikipedia's assessment, monkeys can't own copyrights.","لكن وفق تقييم ويكيبيديا، لا يمكن للقردة امتلاك حقوق نشر.",ويكيبيديا تقدير القرود له حقوق الطبع والنشر
93,"Hence, the photo was free and fair for all to use.","ومن ثَمّ، الصورة مجانية ومتاحة للجميع.",تصوير يطلق الاستخدام العادل
94,It belonged to the internet.,إنها ملك للإنترنت.,ينتمي إلى إنترنت
95,David was baffled.,كان ديفيد في حيرة.,مشوش
96,He thought.,فكّر.,معتقد
97,"Well, surely I've got the copyright.","حسناً، بالتأكيد لدي حقوق النشر.",حقوق الطبع والنشر
98,I set it all up.,أنا من نظّم كل شيء.,نظام
99,I've got the intent.,لديّ النية.,مركزة
100,I had the creativity.,لديّ الإبداع.,إِبداع
101,All the monkey did is press the button.,كل ما فعله القرد هو الضغط على الزر.,كل شئ قرد فعل يضعط زر
102,"Wikipedia includes a note below the photo, which reads, quote, ""This file is in the public domain because as the work of a non-human animal it has no human author in whom copyright is vested."" This decision of Wikipedia's, to declare the photo public domain, that was the opening volley in the monkey selfie battle to come.","تضمنت ويكيبيديا ملاحظة أسفل الصورة تقول: ""هذا الملف في الملك العام لأنه عمل حيوان غير بشري وليس له مؤلف بشري تُودَع فيه حقوق النشر."" هذا القرار من ويكيبيديا، بإعلان الصورة ملكاً عاماً، كان الطلقة الأولى في معركة سيلفي القرد القادمة.",ويكيبيديا مشتمل ملحوظة تصوير قارئ ملف الملكية العامة عمل حيوان بشر مؤلف حقوق الطبع والنشر استثمر قرار ويكيبيديا يعلن تصوير الملكية العامة افتتاح قرد صورة سيلفي معركة يأتي
103,"It was the moment when mother nature was shoved aside, and human nature, with its overstuffed baggage of laws and opinions and domination, took a seat.","كانت اللحظة التي دُفعت فيها الطبيعة جانباً، وجلست الطبيعة البشرية بأمتعتها المثقلة من القوانين والآراء والهيمنة.",لحظة الأم طبيعة يحث الطبيعة البشرية متخم أمتعة قواعد الآراء يتحكم درس مقعد
104,"David went on the offensive, assembled a team of lawyers, studied up on copyright law.","شنّ ديفيد هجومه، وجمع فريقاً من المحامين، وتعمّق في دراسة قانون حقوق النشر.",جارح معقد مجموعة المحامون محسوب قانون حقوق التأليف والنشر
105,He even looked into finding venture capitalists to fund a lawsuit against Wikipedia.,بل بحث حتى عن مستثمرين مغامرين لتمويل دعوى قضائية ضد ويكيبيديا.,ينظر إيجاد تحدّي الرأسماليون تمويل مطالبة ويكيبيديا
106,Wikimedia that's the foundation that owns Wikipedia they just gave him the finger.,"مؤسسة ويكيميديا، التي تمتلك ويكيبيديا، أدارت له ظهرها ببساطة.",ويكيميديا مالك ويكيبيديا منح إصبع
107,This was at their big conference in London.,كان هذا في مؤتمرهم الكبير في لندن.,كبير مؤتمر لندن
108,It's called Wikimania.,يُسمى ويكيمانيا.,مُسَمًّى
109,"One of the founders, Jimmy Wales, was there.","كان أحد المؤسسين، جيمي ويلز، حاضراً.",المؤسسون ويلز
110,"I soon got to know, from the good Wikipedians out there, that Jimmy Wales and many of the delegates were mocking me by printing out my image on great big boards that were placed all over the conference facility.",سرعان ما علمت من الويكيبيديين الطيبين هناك أن جيمي ويلز وكثيراً من المندوبين كانوا يسخرون مني بطباعة صورتي على لوحات كبيرة وضعوها في أنحاء قاعة المؤتمر.,يعرف جيد ويلز كثير الممثلون السخرية طباعة صورة كبير كبير المجالس تم وضعه مؤتمر جهاز
111,And Jimmy Wales and various other people were encouraging the delegates to take selfies with my selfie.,وكان جيمي ويلز وأشخاص آخرون يشجعون المندوبين على التقاط سيلفي مع سيلفيتي.,ويلز متنوع آخر الناس مشجع الممثلون يأخذ صورة سيلفي صورة سيلفي
112,That's just mean.,هذا مجرد خُبث.,متوسط
113,"There's quite a few of these images around the place on the internet, but the one with Jimmy Wales is particularly odious.","هناك كثير من هذه الصور على الإنترنت، لكن الصورة مع جيمي ويلز مثيرة للاشمئزاز بشكل خاص.",عدد قليل صور مكان إنترنت ويلز خطأ
114,Wait.,انتظر.,انتظر
115,I wanna look that up really fast here.,أريد البحث عن ذلك بسرعة هنا.,يريد ينظر سريع
116,Hang on.,تمهل.,يشنق
117,Yeah.,نعم.,
118,Jimmy Wales monkey selfie.,سيلفي جيمي ويلز مع القرد.,ويلز قرد صورة سيلفي
119,Jimmy Wales Wikimania.,جيمي ويلز ويكيمانيا.,ويلز
120,Here we go.,ها نحن ذا.,يذهب
121,"Oh, yeah.","آه، نعم.",
122,Look at that.,انظر إلى ذلك.,ينظر
123,"If you type Jimmy Wales monkey selfie into the Google, you'll find a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face.","إذا كتبت سيلفي جيمي ويلز مع القرد في جوجل، ستجد صورة لرجل بالغ يحمل هاتفه بيد وسيلفي القرد باليد الأخرى بجانب وجهه.",يكتب ويلز قرد صورة سيلفي يجد ذكر بالغ بشر حيازة هاتف يُسلِّم قرد صورة سيلفي آخر التالي وجه
124,And he's got his lips puckered up like a duck.,وشفتاه مُجعَّدتان كالبطة.,شفه مجعد يلوي
125,He looks ridiculous.,يبدو سخيفاً.,مظهر سخيف
126,"Now, is he is that face he's making is that.","الآن، هل ذلك الوجه الذي يصنعه هو.",وجه تحضير
127,"Well, it's like a duck face.","حسناً، إنه كوجه البطة.",يلوي وجه
128,I don't know where that comes from.,لا أعرف من أين يأتي ذلك.,لا أعرف. آت
129,I don't either.,أنا أيضاً لا أعرف.,لا تفعل ذلك.
130,But a lot of people seem to do this duck lips.,لكن يبدو أن كثيراً من الناس يفعلون شفاه البطة هذه.,حبكة الناس يعرض يفعل يلوي شفه
131,How did you feel when you saw that Jimmy Wales selfie with your monkey selfie?,كيف شعرت حين رأيت سيلفي جيمي ويلز مع سيلفي قردك؟,فعل يشعر مخصص ويلز صورة سيلفي قرد صورة سيلفي
132,So angry.,غاضب جداً.,غاضب
133,David was fighting Goliath.,كان ديفيد يقاتل جالوت.,القتال
134,"And then one day, the battle took on epic new proportions.","ثم في يوم ما، اتخذت المعركة أبعاداً ملحمية جديدة.",يوم معركة درس ملحمي جديد النسب
135,"It was like King Kong walked onto the scene, and now David had to battle him too.","كان كأن كينج كونج دخل إلى الساحة، وعلى ديفيد الآن محاربته أيضاً.",ملِك ذهبت. مشهد معركة
136,The dispute with Wikimedia had generated some press in the UK.,ولّد النزاع مع ويكيميديا بعض التغطية الإعلامية في المملكة المتحدة.,قسم ويكيميديا مخلوق يضعط
137,"And one day, David's wife was online.","وفي يوم ما، كانت زوجة ديفيد متصلة بالإنترنت.",يوم امرأة
138,There it was.,وإذا بها هناك.,
139,Photographer being sued by a monkey.,مصور يُقاضَى من قِبَل قرد.,مصور سو قرد
140,You found out the monkey was suing you because your wife found it online.,اكتشفت أن القرد يقاضيك لأن زوجتك وجدت ذلك على الإنترنت.,متاح قرد مطالبة امرأة يجد
141,Yeah.,نعم.,
142,"Just as I found out Wikipedia was stealing it because I stumbled across it, I also stumbled across the fact that I was being sued by a monkey.","تماماً كما اكتشفت أن ويكيبيديا تسرقها لأنني عثرت على ذلك صدفة، عثرت أيضاً على حقيقة أنني أُقاضَى من قِبَل قرد.",يجد ويكيبيديا سرقة مواجهة مواجهة حقيقة سو قرد
143,"The monkey in the selfie photos was suing him for copyright infringement with the help of PETA, People for the Ethical Treatment of Animals.","القرد في صور السيلفي كان يقاضيه بتهمة انتهاك حقوق النشر بمساعدة منظمة بيتا، منظمة الأشخاص من أجل المعاملة الأخلاقية للحيوانات.",قرد صورة سيلفي صور مطالبة انتهاك حقوق النشر يساعد الناس أخلاقي نسبة الحيوانات
144,David called his lawyers and said.,اتصل ديفيد بمحاميه وقال.,مُسَمًّى المحامون يقول
145,Look.,انظر.,ينظر
146,Have you seen what's happening now?,هل رأيت ما يحدث الآن؟,يرى يحدث
147,What can we do?,ماذا يمكننا أن نفعل؟,يفعل
148,"And they said, Dave, this is clearly an April Fools'.","وقالوا، ديف، هذا بوضوح مقلب في الأول من أبريل.",يقول الحمقى
149,Somebody is having you on.,شخص ما يخدعك.,رخام
150,"They said, just sit back.","قالوا، فقط اجلس واسترح.",يقول يجلس
151,Let's see what happens.,دعنا نرى ما سيحدث.,السماح يرى شعاع
152,But do not respond to it.,لكن لا تردّ عليه.,يفعل يرد يعرف
153,And you can't you've got nothing to worry about until you get served papers.,وليس عليك القلق بشأن أي شيء حتى تُسلَّم إليك الوثائق.,هَم تم تقديمه أوراق
154,Let's see what happens.,دعنا نرى ما سيحدث.,السماح يرى شعاع
155,Right.,صحيح.,
156,"And sure enough, one afternoon I was at home.","وبالفعل، في أحد بعد الظهر كنت في البيت.",تأمين ظهراً منزل
157,And there's a knock at the door.,وإذا بطرق على الباب.,طرق باب
158,And a man in a black suit was standing in my porch way.,ورجل ببدلة سوداء كان يقف في مدخل بيتي.,شخص أسود بدلة واقفاً الشرفة طريق
159,I opened the door.,فتحت الباب.,يفتح باب
160,He thrust a large A4 sized white envelope in my hand.,دفع إليّ مغلفاً أبيض كبير بحجم A4.,يحث كبير الحجم أبيض ظرف يُسلِّم
161,"And he says, I've been instructed to pass these to you.","وقال، تلقيت تعليمات بتسليمك هذه.",يقول أحد الوالدين يمر
162,"So I said, what are they?","فقلت، ما هذه؟",يقول
163,And I opened it in front of him.,وفتحته أمامه.,يفتح أمام
164,And I took it out.,وأخذته.,درس
165,"And I said to him, do you know what this is?","وقلت له، هل تعرف ما هذا؟",يقول يفعل يعرف
166,"And he said, not really.","فقال، ليس تماماً.",يقول
167,"I said, I'm being sued by a monkey.","قلت، يقاضيني قرد.",يقول سو قرد
168,And I showed him.,وأريته.,يعرض
169,And he started laughing.,وبدأ يضحك.,بدأ يضحك
170,And we had a little chat.,وتحدثنا قليلاً.,يتحدث سبب
171,Because he was just a local from a local firm down the road from me.,لأنه كان مجرد شخص محلي من شركة محلية قريبة مني.,محلي محلي صلب طريق
172,And he went on his merry way.,وذهب في طريقه بسعادة.,مسافر سعيد طريق
173,I've read the complaint.,قرأت الشكوى.,يقرأ شكوى
174,It's kind of weird.,إنها غريبة بعض الشيء.,غريب
175,You flip through pages and pages of legalese about copyright law.,تتصفح صفحات وصفحات من اللغة القانونية حول قانون حقوق النشر.,نقف الصفحات الصفحات قانون حقوق التأليف والنشر
176,"And then at the end when you get to the exhibits, it's just a bunch of monkey selfies, grinning, serious, howling monkey selfies like a legal document put together by Curious George.","وفي النهاية حين تصل إلى المرفقات، لا تجد سوى حفنة من سيلفيات القردة، مبتسمة، جادة، عاوية، كوثيقة قانونية أعدّها جورج الفضولي.",نهاية المعارض باقة قرد صورة سيلفي مبتسماً جاد عواء قرد صورة سيلفي وثيقة قانونية يضع فضولي
177,"The monkey, whose name is Naruto, was suing David through his next friends, People for the Ethical Treatment of Animals.","القرد، الذي يُدعى ناروتو، كان يقاضي ديفيد عبر أصدقائه المقربين، منظمة بيتا.",قرد اسم مطالبة التالي أصدقاء الناس أخلاقي نسبة الحيوانات
178,"The case is officially called Naruto, a Crested Macaque, by and through his Next Friends, People for the Ethical Treatment of Animals, Inc., v David John Slater, an Individual.","القضية تُسمى رسمياً: ناروتو، مكاك مُعرَّف، بواسطة أصدقائه المقربين، منظمة الأشخاص من أجل المعاملة الأخلاقية للحيوانات المحدودة، ضد ديفيد جون سلاتر، فرد.",قضية مُسَمًّى قرد المكاك التالي أصدقاء الناس أخلاقي نسبة الحيوانات شخصي
179,"In legal parlance, next friend is a status like guardian.","في اللغة القانونية، الصديق المقرب وضع مشابه للوصي.",قانوني لغة التالي صديق حالة الوصي
180,"When someone can't represent themselves in court, the next friend can step in for them.","عندما لا يستطيع شخص تمثيل نفسه في المحكمة، يمكن للصديق المقرب التدخل نيابة عنه.",يمثل محكمة التالي صديق منصة
181,That's just the same as if it was a baby or a disabled adult who couldn't speak or represent himself.,هذا تماماً كما لو كان طفلاً أو بالغاً معاقاً لا يستطيع التكلم أو تمثيل نفسه.,له طفل عاجز بالغ يتحدث يمثل
182,I see.,أرى.,يرى
183,That's not unusual in human law.,هذا ليس غريباً في القانون البشري.,نادِر بشر قانون
184,PETA has a reputation for pulling stunts to attract attention to the plight of animals.,تشتهر منظمة بيتا بتنفيذ مقالب لجذب الانتباه إلى معاناة الحيوانات.,سمعة معلم سياحي حركات بهلوانية لجذب الانتباه الموقف الحيوانات
185,"Once, they dumped horse manure on the sidewalk outside Gordon Ramsay's restaurant in London after a guest on his cooking show made a dish with horse meat.","في إحدى المرات، ألقوا روث الخيل على الرصيف خارج مطعم غوردون رامزي في لندن بعد أن صنع أحد ضيوف برنامجه الطهوي طبقاً بلحم الخيل.",رمي حصان الرصيف غوردون رمسيس مطعم لندن ضيف طبخ عرض صنع جرعة حصان لحمة
