sentence_id,real_sentence_en,real_sentence_he,pseudo_sentence_he_from_all_eyal_words
18,He put his camera on a tripod and threw down some cookies to try to entice the monkeys over.,הוא שם את המצלמה שלו על חצובה וזרק כמה עוגיות כדי לנסות לפתות את הקופים.,לשים מצלמה חצובה זרק עוגיות לנסות לפתות קופים
19,He was hoping they'd get curious about the camera and start pushing the button themselves.,הוא קיווה שהם יסתקרנו לגבי המצלמה ויתחילו ללחוץ על הכפתור בעצמם.,מקווה סקרן מצלמה התחלה דוחף
20,They were curious.,הם היו סקרנים.,סקרן
21,They were not pushing the button.,הם לא לחצו על הכפתור.,דוחף
22,So David attached a cable with a button on the end of it to the camera.,אז דוד חיבר כבל עם כפתור בקצה שלו למצלמה.,מצורף כבל סוף מצלמה
23,The monkeys liked that.,הקופים אהבו את זה.,קופים אהבתי
24,"They started playing with it, putting it in their mouths, fighting over it.","הם התחילו לשחק עם זה, הכניסו אותו לפה שלהם, נלחמו על זה.",התחיל משחק לשים פיות לחימה
25,"And of course when it got pressed, they automatically looked into the lens.","וכמובן שכאשר זה נלחץ, הם הסתכלו אוטומטית לתוך העדשה.",כמובן לחוץ הסתכל עדשה
26,"And the fact that it's going ch, ch, ch, ch, ch, it's monkey language.","והעובדה שזה הולך ch, ch, ch, ch, ch, זה שפת קופים.",עובדה הולך קוף שפה
27,They fired off a few shots.,הם ירו כמה יריות.,מפוטר מעטים יריות
28,David reviewed them.,דוד סקר אותם.,נבדק
29,"They weren't bad, a little out of focus.","הם לא היו רעים, קצת לא בפוקוס.",רע קצת מוקד
30,So he adjusted the settings and put the camera back.,אז הוא התאים את ההגדרות והחזיר את המצלמה.,מותאם הגדרות לשים מצלמה
31,The monkeys were into the whole project by now.,הקופים כבר היו מעורבים בכל הפרויקט.,קופים כל פרויקט
32,"In fact, they were getting a little too excited.","למעשה, הם התרגשו קצת מדי.",עובדה קצת נרגש
33,They almost knocked the tripod over.,הם כמעט הפילו את החצובה.,דפק חצובה
34,So David laid down on his stomach and stretched his arm out to steady the tripod with two fingers.,אז דוד נשכב על בטנו ומתח את זרועו כדי לייצב את החצובה בשתי אצבעות.,מונח בטן מתוח זרוע יציב חצובה אצבעות
35,A few other monkeys noticed their strange new friend lying full out on the floor and hopped onto his back.,כמה קופים אחרים הבחינו בחבר החדש והמוזר שלהם שוכב מלא על הרצפה וקפצו על גבו.,מעטים אחר קופים שם לב מוזר חדש חבר שקר מלא קומה קפץ
36,"So I had monkeys on my back whilst I'm trying to keep my camera from being knocked, while some monkeys, or two or three monkeys, are trying to play with the button.","אז היו לי קופים על הגב בזמן שאני מנסה למנוע מהמצלמה שלי להידפק, בעוד כמה קופים, או שניים או שלושה קופים, מנסים לשחק עם הכפתור.",קופים מנסה לשמור מצלמה דפק קופים מנסה קופים מנסה לשחק
37,"And all of a sudden, I heard the camera going off.",ופתאום שמעתי את המצלמה נכבית.,פתאומי נשמע מצלמה הולך
38,And I didn't dare.,ולא העזתי.,לא להעז
39,"I knew that if I looked up at them, they would probably look away.","ידעתי שאם אסתכל עליהם, הם כנראה יפנו את מבטם.",ידע הסתכל מבט
40,"So I let them click it, click it, click it.","אז נתתי להם ללחוץ עליו, ללחוץ עליו, ללחוץ עליו.",לאפשר
41,"And I sort of very carefully looked up to see them pulling these amazing contorted faces, like howling mouths, and the smiling mouth, and more besides.","ובזהירות רבה הסתכלתי למעלה וראיתי אותם מושכים את הפרצופים המעוותים המדהימים האלה, כמו פיות מייללים, והפה המחייך, ועוד חוץ מזה.",סוג הסתכל לראות משיכה מדהים מעוות פרצופים יללות פיות מחייך פה
42,"The monkeys were taking selfies amazing, beautiful, weird selfies.","הקופים צילמו סלפי מדהימים, יפים ומוזרים.",קופים לקיחה סלפי מדהים יפה משונה סלפי
43,I just wanted it to go on forever really.,רק רציתי שזה יימשך לנצח באמת.,רצה ללכת
44,"When David finally stood up and checked their work, he saw that the shots weren't just regular, old, everyday selfies.","כשדיוויד סוף סוף קם ובדק את עבודתם, הוא ראה שהצילומים לא היו רק תמונות סלפי רגילות, ישנות ויומיומיות.",עמד בדוק עבודה מסור יריות קבוע ישן כל יום סלפי
45,They weren't that guy at the gym taking pictures of his muscles in the mirror.,הם לא היו הבחור הזה בחדר הכושר שצילם את השרירים שלו במראה.,בחור חדר כושר לקיחה תמונות שרירים מראה
46,"These were next level, transcendentally good.","אלה היו ברמה הבאה, טובים בצורה טרנסצנדנטית.",הבא רמה טוב
47,They somehow escape the bounds of selfie and enter the realm of art.,הם איכשהו בורחים מגבולות הסלפי ונכנסים לתחום האמנות.,לברוח גבולות סלפי להכניס תחום אמנות
48,There was one shot in particular that caught David's eye.,הייתה ירייה אחת במיוחד שצדה את עינו של דוד.,בעיטה מסוים נתפס עין
49,The monkey's face is very close to the camera looking straight into the lens.,פניו של הקוף קרובים מאוד למצלמה ומביטות היישר לתוך העדשה.,קופים פנים מצלמה מחפש עדשה
50,It's hair perfectly coiffed.,זה שיער מכוסה בצורה מושלמת.,שער
51,"Eyes friendly, big and round and amber.","עיניים ידידותיות, גדולות ועגולות וענבריות.",עיניים ידידותי גדול עגול ענבר
52,"All of which are nice details, and details are important.","כולם פרטים נחמדים, ופרטים חשובים.",נחמד פרטים פרטים חשוב
53,"But the focus of this selfie, the main event, is the monkey's self-satisfied grin teeth that are too big for its mouth with gaps between them, a real grin, like he knows he's smiling for a picture.","אבל הפוקוס של הסלפי הזה, האירוע המרכזי, הוא שיני החיוך המרוצות מעצמו של הקוף שגדולות מדי לפה עם רווחים ביניהן, חיוך אמיתי, כאילו הוא יודע שהוא מחייך לתמונה.",מוקד סלפי ראשי מקרה קופים מרוצה מעצמי לגחך שיניים גדול פה פערים אמיתי לגחך יודע מחייך תמונה
54,I just saw it on the front cover of National Geographic or something like that.,בדיוק ראיתי את זה בשער הקדמי של נשיונל ג'יאוגרפיק או משהו כזה.,ראיתי קדמית כריכה
55,"And I just thought, I need to get this to my agents.","ופשוט חשבתי, אני צריך להעביר את זה לסוכנים שלי.",מחשבה צורך סוכנים
56,David and his agents put out a press release about the selfies.,דיוויד וסוכניו הוציאו הודעה לעיתונות על הסלפי.,סוכנים לשים הודעה לעיתונות סלפי
57,They thought they could grab people's attention with the photos and then use the opportunity to send a message about conservation.,הם חשבו שהם יכולים למשוך את תשומת הלב של אנשים עם התמונות ואז לנצל את ההזדמנות כדי לשלוח הודעה על שימור.,מחשבה לתפוס עמים תשומת לב תמונות להשתמש הזדמנות לשלוח הודעה שימור
58,"And also they wanted to sell the pictures, of course.","וגם הם רצו למכור את התמונות, כמובן.",רצה למכור תמונות כמובן
59,"These monkeys, crested black macaques, are considered to be critically endangered, which is just one step before extinct in the wild.","הקופים האלה, מקוק שחור מצויץ, נחשבים בסכנת הכחדה חמורה, וזה רק צעד אחד לפני הכחדה בטבע.",קופים שחור מקוקים נחשב בסכנת הכחדה שלב נכחד פראי
60,"They've lost 80% of their population in the last 40 years because of humans, which is why David went to Indonesia in the first place.","הם איבדו 80% מהאוכלוסייה שלהם ב-40 השנים האחרונות בגלל בני אדם, וזו הסיבה שדיוויד נסע לאינדונזיה מלכתחילה.",איבד אחוז אוכלוסיה שנים אחרונות בני אדם הלכו אינדונזיה מקום
61,"He wanted to take photographs that would inspire us humans into caring more about these little monkeys, to stop killing them.","הוא רצה לצלם תמונות שיעוררו אותנו בני האדם לדאוג יותר לקופים הקטנים האלה, להפסיק להרוג אותם.",רצה ליטול תצלומים לעורר בני אדם אכפתיות קצת קופים להפסיק הרג
62,"The selfies didn't end up on the cover of National Geographic, but the British tabloids were interested.","צילומי הסלפי לא הגיעו לשער של נשיונל ג'יאוגרפיק, אבל הצהובונים הבריטיים התעניינו.",סלפי לא סוף לכסות בריטי צהובונים מעוניין
63,The Daily Mail was the first newspaper to publish the story about the selfies.,"ה""דיילי מייל"" היה העיתון הראשון שפרסם את הסיפור על הסלפי.",דואר עתון לפרסם כתבה סלפי
64,This was in 2011.,זה היה ב-2011.,
65,"Within an hour, it was all over your country, Australia, Germany.","תוך שעה זה היה בכל הארץ שלך, אוסטרליה, גרמניה.",שעה מדינה אוסטרליה גרמניה
66,I was getting emails everywhere.,קיבלתי מיילים בכל מקום.,אימיילים
67,My inbox went crazy.,תיבת הדואר הנכנס שלי השתגעה.,תיבת הדואר הנכנס מטורף
68,"People wanting to know the story, wanted to use the image.","אנשים שרצו לדעת את הסיפור, רצו להשתמש בתמונה.",אנשים רוצים לדעת סיפור רוצה להשתמש תמונה
69,"Literally, my phone was hot with calls.","פשוטו כמשמעו, הטלפון שלי היה לוהט משיחות.",טלפון חם שיחות
70,"Over the next few months, the monkey selfies sold pretty well.","במהלך החודשים הבאים, תמונות הסלפי של הקופים נמכרו די טוב.",החודשים הבאים סלפי נמכר
71,David was licensing them to publications and selling prints.,דוד נתן להם רישיון לפרסומים ולמכור הדפסים.,רישוי פרסומים מכירה הדפסים
72,"And then one day, he goes online to research the monkeys.","ואז יום אחד, הוא נכנס לאינטרנט כדי לחקור את הקופים.",יום הולך מחקר קופים
73,I started to just search crested black macaque one day in the Google.,התחלתי פשוט לחפש מקוק שחור מצויץ יום אחד בגוגל.,התחיל לחפש שחור מקוק יום
74,"And there was Wikipedia, top of the list as always.","והייתה ויקיפדיה, בראש הרשימה כמו תמיד.",ויקיפדיה ראש רשימה
75,"I clicked on that, and there's my image.","לחצתי על זה, והנה התמונה שלי.",לחצו תמונה
76,"And I thought, where have they got this from?","וחשבתי, מאיפה הם הביאו את זה?",מחשבה
77,Have they been to Caters News Agency and paid a license fee for it?,האם הם היו בסוכנות הידיעות קייטרס ושילמו על כך דמי רישוי?,קייטרינג סוכנות חדשות שולם רשיון תשלום
78,They had not.,הם לא עשו זאת.,
79,So I sent them a letter.,אז שלחתי להם מכתב.,נשלח מכתב
80,"Sent them a letter saying, I think you're using this without a license fee.","שלח להם מכתב שאומר, אני חושב שאתה משתמש בזה ללא דמי רישיון.",נשלח מכתב פתגם לחשוב באמצעות רשיון תשלום
81,"Could you show me one, or would you pay?","תוכל להראות לי אחד, או שתשלם?",להציג לשלם
82,"They wrote back, saying, this image we believe is public domain.","הם כתבו בחזרה ואמרו, התמונה הזו שאנו מאמינים שהיא נחלת הכלל.",כתב פתגם תמונה להאמין נחלת הכלל
83,"In other words, anyone could use it without David's permission, for free.","במילים אחרות, כל אחד יכול להשתמש בו ללא רשותו של דיוויד, בחינם.",מילים אחרות להשתמש רשות לשחרר
84,"To David, that was just stealing.",בעיני דיוויד זו הייתה רק גניבה.,גניבה
85,He makes a living from selling his pictures.,הוא מתפרנס ממכירת תמונותיו.,עושה חי מכירה תמונות
86,So it was really helpful to have one that was such a hit.,אז זה היה ממש מועיל לקבל אחד שהיה כל כך להיט.,מועיל כזה להיט
87,"But now, anyone could download it from Wikipedia and hang it on their wall or print it in their publication.","אבל עכשיו, כל אחד יכול להוריד אותו מויקיפדיה ולתלות אותו על הקיר שלו או להדפיס אותו בפרסום שלו.",הורדה ויקיפדיה לתלות קיר הדפס פרסום
88,Wikipedia's opinion is that information on the internet should be free.,דעתה של ויקיפדיה היא שמידע באינטרנט צריך להיות חופשי.,ויקיפדיה דעה מידע אינטרנט חינם
89,And David soon learned that they had decided the selfie was in the public domain.,ודיוויד למד במהרה שהם החליטו שהסלפי הוא נחלת הכלל.,מלומד החליט סלפי נחלת הכלל
90,Because the monkey pressed the button.,כי הקוף לחץ על הכפתור.,קוף לחוץ לחצן
91,So the monkey was technically the creator of the photo.,אז הקוף היה טכנית היוצר של התמונה.,קוף יוצר תצלום
92,"But in Wikipedia's assessment, monkeys can't own copyrights.","אבל להערכת ויקיפדיה, קופים לא יכולים להחזיק בזכויות יוצרים.",ויקיפדיה הערכה קופים שלו זכויות יוצרים
93,"Hence, the photo was free and fair for all to use.","לפיכך, התמונה הייתה חופשית והוגנת לשימוש כולם.",תצלום לשחרר שימוש הוגן
94,It belonged to the internet.,זה היה שייך לאינטרנט.,השתייך לאינטרנט
95,David was baffled.,דיוויד היה מבולבל.,מבולבל
96,He thought.,הוא חשב.,מחשבה
97,"Well, surely I've got the copyright.","ובכן, בטח יש לי את זכויות היוצרים.",זכות יוצרים
98,I set it all up.,קבעתי הכל.,מערכת
99,I've got the intent.,יש לי את הכוונה.,מרוכז
100,I had the creativity.,הייתה לי את היצירתיות.,יצירתיות
101,All the monkey did is press the button.,כל מה שהקוף עשה זה ללחוץ על הכפתור.,הכל קוף עשה ללחוץ לחצן
102,"Wikipedia includes a note below the photo, which reads, quote, ""This file is in the public domain because as the work of a non-human animal it has no human author in whom copyright is vested."" This decision of Wikipedia's, to declare the photo public domain, that was the opening volley in the monkey selfie battle to come.","ויקיפדיה כוללת הערה מתחת לתמונה, שבה נכתב, ציטוט, ""קובץ זה נמצא בנחלת הכלל מכיוון שכיצירה של בעל חיים לא אנושי אין לו מחבר אנושי שזכויות יוצרים נתונות לו"".ההחלטה הזו של ויקיפדיה, להכריז על הצילום כנחלת הכלל, הייתה מטח הפתיחה בקרב הסלפי של הקופים שיגיע.",ויקיפדיה כולל פתק תצלום קורא קובץ נחלת הכלל עבודה חיה אנושי מחבר זכות יוצרים מושקע החלטה ויקיפדיה להכריז תצלום נחלת הכלל פתיחה קוף סלפי קרב לבוא
103,"It was the moment when mother nature was shoved aside, and human nature, with its overstuffed baggage of laws and opinions and domination, took a seat.","זה היה הרגע שבו אמא טבע נדחקה הצידה, והטבע האנושי, עם המטען הגדוש מדי של חוקים ודעות ושליטה, תפס מקום.",רגע אמא טבע דחף טבע אנושי ממולא יתר על המידה כבודה חוקים דעות שליטה לקח מושב
104,"David went on the offensive, assembled a team of lawyers, studied up on copyright law.","דוד יצא למתקפה, הרכיב צוות של עורכי דין, למד על דיני זכויות יוצרים.",התקפי מורכב קבוצה עורכי דין מחושב חוק זכויות יוצרים
105,He even looked into finding venture capitalists to fund a lawsuit against Wikipedia.,הוא אפילו בדק למצוא משקיעי הון סיכון שיממנו תביעה נגד ויקיפדיה.,הסתכל ממצא להעז קפיטליסטים קרן תביעה ויקיפדיה
106,Wikimedia that's the foundation that owns Wikipedia they just gave him the finger.,ויקימדיה זו הקרן שבבעלותה ויקיפדיה הם פשוט נתנו לו את האצבע.,ויקימדיה בעלים ויקיפדיה נתן אצבע
107,This was at their big conference in London.,זה היה בכנס הגדול שלהם בלונדון.,גדול ועידה לונדון
108,It's called Wikimania.,זה נקרא ויקימניה.,נקרא
109,"One of the founders, Jimmy Wales, was there.","אחד המייסדים, ג'ימי וויילס, היה שם.",מייסדים ויילס
110,"I soon got to know, from the good Wikipedians out there, that Jimmy Wales and many of the delegates were mocking me by printing out my image on great big boards that were placed all over the conference facility.","עד מהרה למדתי לדעת, מהוויקיפדים הטובים שם, שג'ימי וויילס ורבים מהנציגים לועגים לי על ידי הדפסת התמונה שלי על לוחות גדולים וגדולים שהוצבו בכל רחבי מתקן הוועידה.",לדעת טוב ויילס רבים נציגים לעגני הדפסה תמונה גדול גדול לוחות מוצב ועידה מתקן
111,And Jimmy Wales and various other people were encouraging the delegates to take selfies with my selfie.,וג'ימי וויילס ועוד אנשים שונים עודדו את הנציגים לצלם סלפי עם הסלפי שלי.,ויילס שונים אחר אנשים מעודד נציגים ליטול סלפי סלפי
112,That's just mean.,זה פשוט מרושע.,ממוצע
113,"There's quite a few of these images around the place on the internet, but the one with Jimmy Wales is particularly odious.","יש לא מעט מהתמונות האלה ברחבי המקום באינטרנט, אבל זו עם ג'ימי וויילס מגעילה במיוחד.",מעטים תמונות מקום לאינטרנט ויילס נתעב
114,Wait.,לַחֲכוֹת.,לחכות
115,I want to look that up really fast here.,אני רוצה לבדוק את זה ממש מהר כאן.,רוצה מבט מהיר
116,Hang on.,תחזיק מעמד.,לתלות
117,Yeah.,כֵּן.,
118,Jimmy Wales monkey selfie.,סלפי של קוף ג'ימי וויילס.,ויילס קוף סלפי
119,Jimmy Wales Wikimania.,ג'ימי וויילס ויקימניה.,ויילס
120,Here we go.,הנה אנחנו הולכים.,ללכת
121,"Oh, yeah.","אה, כן.",
122,Look at that.,תראה את זה.,מבט
123,"If you type Jimmy Wales monkey selfie into the Google, you'll find a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face.","אם תקלידו סלפי של קוף של ג'ימי וויילס בגוגל, תמצאו תמונה של גבר מבוגר מחזיק את הטלפון שלו ביד אחת ואת הסלפי של הקוף בשנייה ממש ליד הפנים שלו.",סוג ויילס קוף סלפי למצוא זכר למבוגרים אנושי החזקה טלפון יד קוף סלפי אחר הבא פנים
124,And he's got his lips puckered up like a duck.,ושפתיו מקומטות כמו ברווז.,שפתיים מקומט להתכופף
125,He looks ridiculous.,הוא נראה מגוחך.,מראה מגוחך
126,"Now, is he is that face he's making is that.","עכשיו, האם הוא הפרצוף הזה שהוא עושה הוא זה.",פנים הכנה
127,"Well, it's like a duck face.","ובכן, זה כמו פרצוף ברווז.",להתכופף פנים
128,I don't know where that comes from.,אני לא יודע מאיפה זה בא.,לא יודע מגיע
129,I don't either.,גם אני לא.,אל תעשה
130,But a lot of people seem to do this duck lips.,אבל נראה שהרבה אנשים עושים את זה בשפתי ברווז.,מגרש אנשים להראות לעשות להתכופף שפתיים
131,How did you feel when you saw that Jimmy Wales selfie with your monkey selfie?,איך הרגשת כשראית את הסלפי של ג'ימי וויילס עם הסלפי של הקוף שלך?,עשה תחושה מסור ויילס סלפי קוף סלפי
132,So angry.,כל כך כועס.,כועס
133,David was fighting Goliath.,דוד נלחם בגוליית.,לחימה
134,"And then one day, the battle took on epic new proportions.","ואז יום אחד, הקרב קיבל פרופורציות חדשות ואפיות.",יום קרב לקח אפוס חדש פרופורציות
135,"It was like King Kong walked onto the scene, and now David had to battle him too.","זה היה כאילו קינג קונג נכנס למקום, ועכשיו דיוויד נאלץ להילחם גם בו.",מלך הלכתי סצינה קרב
136,The dispute with Wikimedia had generated some press in the UK.,המחלוקת עם ויקימדיה יצרה כמה עיתונות בבריטניה.,מחלוקת ויקימדיה נוצר ללחוץ
137,"And one day, David's wife was online.","ויום אחד, אשתו של דוד הייתה מקוונת.",יום אשה
138,There it was.,הנה זה היה.,
139,Photographer being sued by a monkey.,צלם נתבע על ידי קוף.,צלם תבע קוף
140,You found out the monkey was suing you because your wife found it online.,גילית שהקוף תובע אותך כי אשתך מצאה אותו באינטרנט.,נמצא קוף תביעה אשה מצא
141,Yeah.,כֵּן.,
142,"Just as I found out Wikipedia was stealing it because I stumbled across it, I also stumbled across the fact that I was being sued by a monkey.","בדיוק כשגיליתי שוויקיפדיה גונבת אותה כי נתקלתי בה, נתקלתי גם בעובדה שתבעו אותי על ידי קוף.",מצא ויקיפדיה גניבה נתקל נתקל עובדה תבע קוף
143,"The monkey in the selfie photos was suing him for copyright infringement with the help of PETA, People for the Ethical Treatment of Animals.","הקוף בתמונות הסלפי תבע אותו על הפרת זכויות יוצרים בעזרת PETA, People for the Ethical Treatment of Animals.",קוף סלפי תמונות תביעה הפרת זכויות יוצרים עזרה אנשים אתי יחס בעלי חיים
144,David called his lawyers and said.,דוד התקשר לעורכי הדין שלו ואמר.,נקרא עורכי דין אמר
145,Look.,מַבָּט.,מבט
146,Have you seen what's happening now?,ראית מה קורה עכשיו?,ראה מתרחש
147,What can we do?,מה אנחנו יכולים לעשות?,לעשות
148,"And they said, Dave, this is clearly an April Fools'.","והם אמרו, דייב, ברור שזה אחד באפריל.",אמר טיפשים
149,Somebody is having you on.,מישהו מחזיק אותך.,שיש
150,"They said, just sit back.",,אמר לשבת
151,Let's see what happens.,בוא נראה מה יקרה.,מאפשר לראות קורה
152,But do not respond to it.,אבל אל תגיב לזה.,לעשות להגיב לדעת
153,And you can't you've got nothing to worry about until you get served papers.,ואתה לא יכול שאין לך מה לדאוג עד שיגישו לך ניירות.,דאגה מוגש ניירות
154,Let's see what happens.,בוא נראה מה יקרה.,מאפשר לראות קורה
155,Right.,יָמִינָה.,
156,"And sure enough, one afternoon I was at home.","ובאמת, אחר הצהריים אחד הייתי בבית.",בטוח צהריים בית
157,And there's a knock at the door.,והנה דפיקה בדלת.,נקישה דלת
158,And a man in a black suit was standing in my porch way.,ואדם בחליפה שחורה עמד בדרכי למרפסת.,אדם שחור חליפה עומד מרפסת דרך
159,I opened the door.,פתחתי את הדלת.,נפתח דלת
160,He thrust a large A4-sized white envelope in my hand.,הוא תחב בידי מעטפה לבנה גדולה בגודל A4.,דחף גדול בגודל לבן מעטפה יד
161,"And he says, I've been instructed to pass these to you.","והוא אומר, קיבלתי הוראה להעביר לך את אלה.",אומר הורה לעבור
162,"So I said, what are they?","אז אמרתי, מה הם?",אמר
163,And I opened it in front of him.,ופתחתי אותו לפניו.,נפתח חזית
164,And I took it out.,והוצאתי את זה.,לקח
165,"And I said to him, do you know what this is?","ואמרתי לו, אתה יודע מה זה?",אמר לעשות לדעת
166,"And he said, not really.","והוא אמר, לא ממש.",אמר
167,"I said, I'm being sued by a monkey.","אמרתי, קוף תובע אותי.",אמר תבע קוף
168,And I showed him.,והראיתי לו.,הראה
169,And he started laughing.,והוא התחיל לצחוק.,התחיל צוחק
170,And we had a little chat.,וניהלנו שיחה קטנה.,לשוחח לגרום
171,Because he was just a local from a local firm down the road from me.,כי הוא היה רק ​​מקומי מחברה מקומית בהמשך הדרך ממני.,מקומי מקומי מוצק כביש
172,And he went on his merry way.,והוא המשיך בדרכו העליזה.,הלך שמח דרך
173,I've read the complaint.,קראתי את התלונה.,לקרוא תלונה
174,It's kind of weird.,זה קצת מוזר.,משונה
175,You flip through pages and pages of legalese about copyright law.,אתה מדפדף בין דפים ודפים של משפטים בנושא חוק זכויות יוצרים.,להעיף דפים דפים חוק זכויות יוצרים
176,"And then at the end when you get to the exhibits, it's just a bunch of monkey selfies, grinning, serious, howling monkey selfies like a legal document put together by Curious George.","ואז בסוף כשאתה מגיע לתערוכות, זה רק חבורה של סלפי קופים, סלפי קופים מחייכים, רציניים, מייללים כמו מסמך משפטי שהרכיב ג'ורג' הסקרן.",סוף תערוכות צרור קוף סלפי מחייך רציני יללות קוף סלפי מסמך משפטי לשים סקרן
177,"The monkey, whose name is Naruto, was suing David through his next friends, People for the Ethical Treatment of Animals.","הקוף, ששמו נארוטו, תבע את דיוויד דרך חבריו הבאים, אנשים למען היחס האתי לבעלי חיים.",קוף שם תביעה הבא חברים אנשים אתי יחס בעלי חיים
178,"The case is officially called Naruto, a Crested Macaque, by and through his Next Friends, People for the Ethical Treatment of Animals, Inc., v David John Slater, an Individual.","התיק נקרא רשמית נארוטו, מקוק מצויד, על ידי ובאמצעות חבריו הבאים, אנשים למען היחס האתי לבעלי חיים, בע""מ, נגד דייוויד ג'ון סלייטר, אינדיווידואל.",מקרה נקרא מקוק הבא חברים אנשים אתי יחס בעלי חיים אישי
179,"In legal parlance, next friend is a status like guardian.","בשפה המשפטית, חבר הבא הוא סטטוס כמו אפוטרופוס.",משפטי אפן הדבור הבא חבר סטטוס אפוטרופוס
180,"When someone can't represent themselves in court, the next friend can step in for them.","כשמישהו לא יכול לייצג את עצמו בבית המשפט, החבר הבא יכול להתערב עבורו.",ליצג בית משפט הבא חבר שלב
181,That's just the same as if it was a baby or a disabled adult who couldn't speak or represent himself.,זה בדיוק אותו דבר כאילו היה זה תינוק או מבוגר מוגבל שלא יכול לדבר או לייצג את עצמו.,אותו תינוק נכה מבוגר לדבר ליצג
182,I see.,אני רואה.,לראות
183,That's not unusual in human law.,זה לא חריג בחוק האנושי.,יוצא דופן אנושי חוק
184,PETA has a reputation for pulling stunts to attract attention to the plight of animals.,ל-PETA יש מוניטין של ביצוע פעלולים כדי למשוך תשומת לב למצוקתן של בעלי חיים.,מוניטין משיכה פעלולים למשוך תשומת לב מצב בעלי חיים
185,"Once, they dumped horse manure on the sidewalk outside Gordon Ramsay's restaurant in London after a guest on his cooking show made a dish with horse meat.",פעם הם השליכו זבל סוסים על המדרכה מחוץ למסעדה של גורדון רמזי בלונדון לאחר שאורח בתוכנית הבישול שלו הכין מנה עם בשר סוס.,זרקו סוס מדרכה גורדון רמזיס מסעדה לונדון אורח בישול להציג עשוי מנה סוס בשר
186,They made a comic book called Your Mommy Kills Animals and then handed it out to moms who were wearing fur coats at performances of the Nutcracker.,הם הכינו ספר קומיקס בשם Your Mommy Kills Animals ואז חילקו אותו לאמהות שלבשו מעילי פרווה בהופעות של מפצח האגוזים.,עשוי קומיקס נקרא הורג בעלי חיים מסר אמהות לבישה פרווה מעילים הופעות
