sentence_id,real_sentence_en,pseudo_sentence_en_from_all_eyal_words
80,"Sent them a letter saying, I think you're using this without a license fee.",sent letter saying think using license fee
81,"Could you show me one, or would you pay?",show pay
82,"They wrote back, saying, this image we believe is public domain.",wrote saying image believe public domain
83,"In other words, anyone could use it without David's permission, for free.",other words use permission free
84,"To David, that was just stealing.",stealing
85,He makes a living from selling his pictures.,makes living selling pictures
86,So it was really helpful to have one that was such a hit.,helpful such hit
87,"But now, anyone could download it from Wikipedia and hang it on their wall or print it in their publication.",download wikipedia hang wall print publication
88,Wikipedia's opinion is that information on the internet should be free.,wikipedias opinion information internet free
89,And David soon learned that they had decided the selfie was in the public domain.,learned decided selfie public domain
90,Because the monkey pressed the button.,monkey pressed button
91,So the monkey was technically the creator of the photo.,monkey creator photo
92,"But in Wikipedia's assessment, monkeys can't own copyrights.",wikipedias assessment monkeys own copyrights
93,"Hence, the photo was free and fair for all to use.",photo free fair use
94,It belonged to the internet.,belonged internet
95,David was baffled.,baffled
96,He thought.,thought
97,"Well, surely I've got the copyright.",copyright
98,I set it all up.,set
99,I've got the intent.,intent
100,I had the creativity.,creativity
101,All the monkey did is press the button.,alls monkey did press button
102,"Wikipedia includes a note below the photo, which reads, quote, ""This file is in the public domain because as the work of a non-human animal it has no human author in whom copyright is vested."" This decision of Wikipedia's, to declare the photo public domain, that was the opening volley in the monkey selfie battle to come.",wikipedia includes note photo reads file public domain work animal human author copyright vested decision wikipedias declare photo public domain opening monkey selfie battle come
103,"It was the moment when mother nature was shoved aside, and human nature, with its overstuffed baggage of laws and opinions and domination, took a seat.",moment mother nature shoved human nature overstuffed baggage laws opinions domination took seat
104,"David went on the offensive, assembled a team of lawyers, studied up on copyright law.",offensive assembled team lawyers studied copyright law
105,He even looked into finding venture capitalists to fund a lawsuit against Wikipedia.,looked finding venture capitalists fund lawsuit wikipedia
106,Wikimedia that's the foundation that owns Wikipedia they just gave him the finger.,wikimedia owns wikipedia gave finger
107,This was at their big conference in London.,big conference london
108,It's called Wikimania.,called
109,"One of the founders, Jimmy Wales, was there.",founders wales
110,"I soon got to know, from the good Wikipedians out there, that Jimmy Wales and many of the delegates were mocking me by printing out my image on great big boards that were placed all over the conference facility.",know good wales many delegates mocking printing image great big boards placed conference facility
111,And Jimmy Wales and various other people were encouraging the delegates to take selfies with my selfie.,wales various other people encouraging delegates take selfies selfie
112,That's just mean.,mean
113,"There's quite a few of these images around the place on the internet, but the one with Jimmy Wales is particularly odious.",few images place internet wales odious
114,Wait.,wait
115,I wanna look that up really fast here.,wanna look fast
116,Hang on.,hang
117,Yeah.,
118,Jimmy Wales monkey selfie.,wales monkey selfie
119,Jimmy Wales Wikimania.,wales
120,Here we go.,go
121,"Oh, yeah.",
122,Look at that.,look
123,"If you type Jimmy Wales monkey selfie into the Google, you'll find a photo of an adult male human holding his phone up in one hand and the monkey selfie in the other right next to his face.",type wales monkey selfie find adult male human holding phone hand monkey selfie other next face
124,And he's got his lips puckered up like a duck.,lips puckered duck
125,He looks ridiculous.,looks ridiculous
126,"Now, is he is that face he's making is that.",face making
127,"Well, it's like a duck face.",duck face
128,I don't know where that comes from.,dont know comes
129,I don't either.,dont
130,But a lot of people seem to do this duck lips.,lot people seem do duck lips
131,How did you feel when you saw that Jimmy Wales selfie with your monkey selfie?,did feel saw wales selfie monkey selfie
132,So angry.,angry
133,David was fighting Goliath.,fighting
134,"And then one day, the battle took on epic new proportions.",day battle took epic new proportions
135,"It was like King Kong walked onto the scene, and now David had to battle him too.",king walked scene battle
136,The dispute with Wikimedia had generated some press in the UK.,dispute wikimedia generated press
137,"And one day, David's wife was online.",day wife
138,There it was.,
139,Photographer being sued by a monkey.,photographer sued monkey
140,You found out the monkey was suing you because your wife found it online.,found monkey suing wife found
141,Yeah.,
142,"Just as I found out Wikipedia was stealing it because I stumbled across it, I also stumbled across the fact that I was being sued by a monkey.",found wikipedia stealing stumbled stumbled fact sued monkey
143,"The monkey in the selfie photos was suing him for copyright infringement with the help of PETA, People for the Ethical Treatment of Animals.",monkey selfie photos suing copyright infringement help people ethical treatment animals
144,David called his lawyers and said.,called lawyers said
145,Look.,look
146,Have you seen what's happening now?,seen happening
147,What can we do?,do
148,"And they said, Dave, this is clearly an April Fools'.",said fools
149,Somebody is having you on.,having
150,"They said, just sit back.",said sit
151,Let's see what happens.,lets see happens
152,But do not respond to it.,do respond know
153,And you can't you've got nothing to worry about until you get served papers.,worry served papers
154,Let's see what happens.,lets see happens
155,Right.,
156,"And sure enough, one afternoon I was at home.",sure afternoon home
157,And there's a knock at the door.,knock door
158,And a man in a black suit was standing in my porch way.,man black suit standing porch way
159,I opened the door.,opened door
160,He thrust a large A4 sized white envelope in my hand.,thrust large sized white envelope hand
161,"And he says, I've been instructed to pass these to you.",says instructed pass
162,"So I said, what are they?",said
163,And I opened it in front of him.,opened front
164,And I took it out.,took
165,"And I said to him, do you know what this is?",said do know
166,"And he said, not really.",said
167,"I said, I'm being sued by a monkey.",said sued monkey
168,And I showed him.,showed
169,And he started laughing.,started laughing
170,And we had a little chat.,chat cause
171,Because he was just a local from a local firm down the road from me.,local local firm road
172,And he went on his merry way.,went merry way
173,I've read the complaint.,read complaint
174,It's kind of weird.,weird
175,You flip through pages and pages of legalese about copyright law.,flip pages pages copyright law
176,"And then at the end when you get to the exhibits, it's just a bunch of monkey selfies, grinning, serious, howling monkey selfies like a legal document put together by Curious George.",end exhibits bunch monkey selfies grinning serious howling monkey selfies legal document put curious
177,"The monkey, whose name is Naruto, was suing David through his next friends, People for the Ethical Treatment of Animals.",monkey name suing next friends people ethical treatment animals
178,"The case is officially called Naruto, a Crested Macaque, by and through his Next Friends, People for the Ethical Treatment of Animals, Inc., v David John Slater, an Individual.",case called macaque next friends people ethical treatment animals individual
179,"In legal parlance, next friend is a status like guardian.",legal parlance next friend status guardian
180,"When someone can't represent themselves in court, the next friend can step in for them.",represent court next friend step
181,That's just the same as if it was a baby or a disabled adult who couldn't speak or represent himself.,same baby disabled adult speak represent
182,I see.,see
183,That's not unusual in human law.,unusual human law
184,PETA has a reputation for pulling stunts to attract attention to the plight of animals.,reputation pulling stunts attract attention plight animals
185,"Once, they dumped horse manure on the sidewalk outside Gordon Ramsay's restaurant in London after a guest on his cooking show made a dish with horse meat.",dumped horse sidewalk gordon ramsays restaurant london guest cooking show made dish horse meat
186,They made a comic book called Your Mommy Kills Animals and then handed it out to moms who were wearing fur coats at performances of the Nutcracker.,made comic book called kills animals handed moms wearing fur coats performances
187,"They campaigned to change the word fish to sea kittens so that people would associate seafood with their adorable kitty cats and stop eating them the fish, I mean.",campaigned change word fish sea kittens people associate seafood adorable cats stop eating fish mean
188,But Jeff Kerr he's the general counsel to PETA he says this monkey selfie case is not one of those stunts.,general counsel says monkey selfie case stunts
189,We first saw the monkey selfie in approximately 2014 when the dispute between Mr. Slater and Wikimedia became international news.,saw monkey selfie dispute wikimedia became news
190,"Our view was immediately that Naruto, who created the photograph, should own the copyright to it.",view created created photograph own copyright
191,"Jeff saw the dispute as this photographer wants to sue Wikimedia, and Wikimedia is claiming the photo is in the public domain.",saw dispute photographer wants sue wikimedia wikimedia claiming photo public domain
192,But who's standing up for the monkey?,standing monkey
193,That's what the law is.,law
194,"And our argument, very simply, is that that should apply equally to him, even though he simply happens not to have been born human.",argument apply happens born human
195,"But certainly the monkey didn't think like, now this is great.",monkey didnt think great
196,I've got a camera in my hands.,camera hands
197,I'm gonna snap a couple frames and update my Bumble profile with whatever I get.,gonna snap couple frames update profile know
198,"The monkey's not thinking of it as, I'm taking a photograph here.",monkeys thinking taking photograph
199,But that's not required under the copyright law.,required copyright law
200,"All that's required is that the copyright law simply provides that the author, the creator of the image, is entitled to own it.",required copyright law provides author creator image entitled own
201,It doesn't say that the author has to know that he or she is making a photograph.,doesnt say author know making photograph
202,"If somebody gives you their camera and asks you to take a photograph, and you arrange them and you take the photograph, under those circumstances, you technically would own the copyright.",gives camera asks take photograph arrange take photograph circumstances own copyright
203,There are like 20 French tourists that I need to sue.,french tourists need sue
204,PETA is an American organization.,organization
205,And the case was to be heard in federal court in San Francisco.,case heard federal court san francisco
206,David talked to his lawyers in England.,talked lawyers england
207,And they told him he needed to hire an American attorney and fight this.,told needed hire attorney fight
208,"I was advised by talking to these attorneys that I really did need to follow this through, because there would be a chance, an outside chance albeit, of it just going the monkey's way if I didn't challenge it.",advised talking attorneys need did need follow chance chance going monkeys way didnt challenge
209,The monkey would win?,monkey win
210,Yeah.,
211,"Well, it was in the court in California.",court california
212,And everybody has the opinion that anything can happen there.,opinion happen
213,I don't know how true that is.,dont know true
214,But I was being told I can't take that risk.,told take risk
215,But of course.,course
216,Have you been to California?,california
217,"Well, no.",
218,It's kind of true.,TRUE
219,David hired Andrew Dhuey to represent him.,hired represent
220,Do you remember when you first heard about the case?,do remember heard case
221,Was it when did David call you?,call
222,Is that how you first heard about it?,heard
223,"No, I read about it.",read
224,And I don't remember where I read about it.,dont remember read
225,But I got pretty excited when I saw that it was filed in San Francisco federal court because I'm right across the bay in Berkeley.,excited saw filed san francisco federal court cause berkeley
226,"So I thought, wow, I would be perfect for this case.",thought perfect case
227,Andrew is an intellectual property lawyer.,intellectual property lawyer
228,Works for himself.,works
229,"And when he read about the case, he reached out to David to ask if he could take it.",read case reached ask take
230,Why did you think you were perfect for the case?,think perfect case
231,"Well, I think the case kind of lent itself to making monkey puns and things like that.",think know case know making monkey puns things
232,And I just thought that would be I kind of like to do that.,thought
233,I like to joke around.,
234,I don't know if you've seen my LinkedIn profile.,dont know seen linkedin profile
235,I'm in a Chippendales costume.,chippendales costume
236,"For his LinkedIn picture, Andrew chose a shot of himself wearing eyeglasses, a bow tie, and nothing else.",linkedin picture chose shot wearing eyeglasses bow tie
237,"All these years I've been practicing for like 25 years, and I've never been able to joke around in anything I filed in court.",years practicing years able filed court
238,"So I was like, hey, this would actually be a case where I could do that.",case
239,"That said, he's a real intellectual property lawyer.",said real intellectual property lawyer
240,"He's defended the toy company Wham O, won an important case against Panasonic.",defended toy company won important case
241,"And for Andrew, the case was a one banana problem.",case banana problem
242,He answered Naruto's complaint with a motion to dismiss the case.,answered complaint motion dismiss case
243,"Monkeys, he said, do not have standing to sue in federal court.",monkeys said standing sue federal court
244,His argument is based on a precedent set in 2004 in a case called Cetacean Community v George W.,argument based precedent set case called community
245,"Bush, in which all the world's whales, porpoises, and dolphins sued the president.",worlds whales porpoises dolphins sued president
246,"All the world's whales, porpoises, and dolphins argued that the military's use of underwater sonar was hurting them, changing their natural behaviors, like eating and mating.",worlds whales porpoises dolphins argued militarys use underwater hurting changing natural behaviors eating mating
247,"Basically, sonar is just an incredibly loud sound wave.",loud sound wave
248,"So cetaceans, that's a scientific word for a category of marine mammal cetaceans flee when they hear sonar, sometimes even beating themselves to get away.",cetaceans scientific word category mammal cetaceans hear beaching
249,"In that case, the Ninth Circuit Court of Appeals decided that unless Congress explicitly states otherwise, animals do not have standing to sue in federal court.",case court appeals decided states animals standing sue federal court
250,So that's the case Andrew pointed to in his defense.,case pointed defense
251,"But PETA hired an outside attorney to represent the monkey Naruto in court, a guy named David Schwarz.",hired attorney represent monkey court guy named
252,"This guy, Schwarz, he comes from a fancy law firm in Los Angeles known for intellectual property law.",guy comes law firm los angeles known intellectual property law
253,Most of his case was an intellectual property argument that Naruto was the legal owner of the copyright because he was the one who made the photo.,case intellectual property argument legal copyright made photo
254,But PETA also saw this case as an opportunity to nudge the law and set a precedent.,saw case opportunity nudge law set precedent
255,They disagreed with the ruling in the cetacean case.,disagreed ruling case
256,They believe animals should have recourse in court.,believe animals court
257,"Calling civil matter 15 4324, Naruto v David John Slater, et al.",calling civil matter dash
258,"Counsel, please come forward and state your appearance.",counsel come state appearance good
259,This is a recording from the hearing in the federal district court in San Francisco.,afternoon recording hearing federal court san francisco unanticipated
260,The judge asked Schwarz if he has an example of an animal ever being granted a copyright.,judge asked example animal granted copyright
261,"In the vast history of common law prior to the Copyright Act, was there do you have an example of where an animal was granted a copyright?",vast history common law copyright act example animal granted copyright
262,I do not have an example where an animal was granted a copyright.,example animal granted copyright
263,We could make the counterargument as to how other humans were denied protection under that law due to the color of their skin.,make counterargument other humans denied protection law due color skin
264,One could see the contradiction in a statutory interpretation where we see that problem in the antebellum days.,see contradiction interpretation see problem days
265,But when you look at the cornerstones of.,look cornerstones
266,"That's quite a stretch, Mr. Schwarz.",stretch
267,Just to pause on this for a moment.,pause moment answered
268,"Yes, Schwarz is comparing a monkey's lack of copyright to chattel slavery, which is offensive and seems weirdly blind to the racist history of comparing black people and monkeys.",comparing monkeys lack copyright chattel slavery offensive seems blind racist history comparing black people monkeys
269,Even Schwarz seems uncomfortable with it.,seems uncomfortable
270,He's saying that denying a monkey the right to own property because of its species is the same as denying humans the right to own property because of the color of their skin.,saying denying monkey own property same denying humans own property color skin
271,"That's quite a stretch, Mr. Schwarz.",stretch
272,Pardon me?,pardon
273,That's quite a stretch.,stretch
274,But go ahead.,go
275,And I certainly wouldn't make it the centerpiece of any argument here today.,make centerpiece argument today
276,"But it is fair to say that before the adoption of the 14th Amendment, the concepts of property ownership in the area of patents foreclosed the ability of a slave to claim ownership to a patent.",fair say adoption fourteenth amendment concepts property ownership area patents ability slave claim ownership patent
277,What's going on here is that PETA sees the monkey selfie case in the context of a larger end game.,going sees monkey selfie case context larger endgame
278,"If they can get a court to agree that denying a monkey the right to own property is the same as denying a human the right to own property, that opens the door for the legal system to completely reconsider the legal status of animals.",court agree denying monkey own property same denying human own property opens door legal system reconsider legal status animals
279,An animal would be declared an owner of property instead of just being property.,animal declared property property
280,This isn't the first time PETA has tried an argument like this in the courts.,time tried argument courts
281,"In 2011, they sued SeaWorld on behalf of five orcas at SeaWorld Orlando and SeaWorld San Diego.",sued behalf diego
282,"Orcas are huge, 20 to 30 feet long.",huge feet
283,And they weigh about six tons.,weigh tons
284,They typically travel around 75 miles in a day.,travel miles day
285,"PETA said that keeping these orcas at SeaWorld in small concrete tanks against their will to perform for human entertainment, that was slavery.",said keeping small concrete tanks perform human entertainment slavery
286,PETA lost that case.,lost case
287,But SeaWorld has agreed to end its captive orca program after the last of their 27 orcas dies.,agreed end captive orca program last dies
288,"To understand why PETA is pursuing cases like these, you have to consider two very different pictures about how the world works.",understand pursuing cases consider different pictures world works
289,"In one of them, humans are at the top of the food chain-- either because God wanted it that way, or because we figured out how to use our opposable thumbs so well that we could hunt and gather, and till the soil, and build cities, and create copyright laws.",humans top food chain wanted way figured use thumbs hunt gather soil build cities create copyright laws
290,We make the rules for everything else in this world.,make rules world
291,And the other picture-- and this is the one PETA has hanging on their wall-- humans are not at the top.,other picture hanging wall humans top
292,Humans are just another mammal walking around on earth.,humans mammal walking earth
293,"And if we're gonna give ourselves certain rights as humans, we should extend those rights to our fellow animals.",give certain rights humans extend rights fellow animals
294,You guys are saying humans are not superior to other animals.,guys saying humans superior other animals
295,We're not.,
296,We are just another member of the animal kingdom.,member animal kingdom know
297,And it doesn't it's just prejudice and hubris that prevents us many times from seeing that.,prejudice prevents many times seeing
298,"This is Jeff Kerr again, the general counsel to PETA.",general counsel
299,That property status is something that we think is just an abomination.,property status think abomination
300,"Like Naruto, these animals are feeling, sentient beings.",animals feeling sentient beings
301,"They should be entitled to fundamental legal rights beyond simply food, water, veterinary care, and shelter.",entitled fundamental legal rights food water veterinary care shelter
302,"This idea that animals should have recognized, fundamental legal rights is not unprecedented.",idea animals recognized fundamental legal rights unprecedented
303,"Three years ago in Argentina, a judge granted a habeas corpus petition filed on behalf of an orangutan at a zoo in Buenos Aires.",years argentina judge granted petition filed behalf buenos aires
304,"She was being held in a tiny, crappy cage.",held tiny crappy cage
305,"The judge decided the orangutan had basic rights as a non human person, including the right to freedom.",judge decided orangutan basic rights person including freedom
306,"And in New York state, an attorney is fighting to get the courts to recognize that two captive chimps, Tommy and Kiko, are non-human persons deserving of legal rights, just like corporations get.",new state attorney fighting courts recognize captive persons deserving legal rights corporations
307,"The thing is David Slater, the photographer who's getting sued by the monkey, he agrees with PETA on this point.",thing photographer sued monkey agrees point
308,"In fact, he used to defend PETA to his friends when they grumbled about the stunts.",fact used defend friends grumbled stunts
309,David even worked with them once on a campaign to protect wild hogs near his home in England.,worked campaign protect wild hogs home england
310,That's one of the greatest shames on them is that they've attacked somebody who is trying to achieve the same goal as they are.,greatest shames attacked trying achieve same goal
311,Saving animals from suffering is a very noble cause.,saving animals suffering noble cause
312,But I think sometimes they get carried away with their power.,think carried power
313,"Did the fact that this group that's sort of on your side was the one kind of attacking you or opposing you, did that make you stop ever and think, well, now, wait a minute?",fact group sort side attacking opposing make stop think wait minute
314,Do they have a point?,point
315,No.,
316,I've had to think very carefully about what my philosophy is.,think philosophy cause
317,"Because the book, my Wildlife Personalities book, that's part of the court case, I argue for animals having more fundamental rights, like dignity, and access to their ancestral forests, and access to food.",wildlife personalities part part court case argue animals having fundamental rights dignity access ancestral forests access food
318,So I am an animal rights advocate.,animal rights advocate
319,Naruto and PETA lost that first round in court.,lost round court
320,Andrew Dhuey called David to tell him the news.,called tell news
321,We just took it very casually.,took
322,"We just said, yeah, of course.",said course
323,Of course that's gonna get thrown out.,course thrown
324,Andrew Dhuey said this all along to me.,said
325,There's no way that this is gonna go anywhere.,way go
326,And then the monkey appealed.,monkey appealed
327,"Good morning, Your Honors.",good morning honors
328,"And may it please the court, David Schwarz on behalf of the appellant.",court behalf appellant
329,The case went before three judges on the Ninth Circuit Court of Appeals.,case judges court appeals court case
330,That's the court that ruled against Trump's travel ban twice this year.,ruled trumps travel ban year
331,These judges are not messing around.,judges messing
332,Schwarz made it 30 seconds into his oral argument before one of the judges interrupted him.,made seconds oral argument judges interrupted honor
333,"Mr. Schwarz, before we get there, there's a preliminary question which I'd like you to address.",preliminary question address
334,"At this stage, the attorneys and the judges are gonna debate case law.",stage attorneys judges debate case law
335,"And the judges have a lot of questions for Schwarz the first being, how are you qualified to be Naruto's next friend?",judges lot questions qualified next friend
336,You don't know the monkey.,dont know monkey pleading
337,"And then a few minutes later, Judge Randy Smith interrupts Schwarz to grill him about injury.",article few minutes judge interrupts grill injury
338,That's the legal term for harm or damage.,legal term harm damage
339,"Well, what's your injury?",injury
340,There's no way to acquire or hold some money which the copyright would give.,way acquire hold money copyright give
341,There's no losses to reputation.,losses reputation
342,There's no even allegation that the copyright could have benefited somehow Naruto.,allegation copyright benefited
343,What financial benefits apply to him?,financial benefits apply
344,There's nothing.,
345,"But, Your Honor, the redressability issue doesn't necessarily turn on the compensation.",honor issue turn compensation
346,It could be.,
347,"Well, I wanna know what then is the injury.",wanna know injury
348,There's no case that says copyright infringement itself is injury.,case says copyright infringement injury
349,So what injury do we have?,injury
350,"Whatever the legal merits of this case are, there's just something really enjoyable about hearing lawyers throw around terms like redressability and compensation and injury when they're talking about a monkey.",legal merits case enjoyable hearing lawyers throw terms redressability compensation injury talking monkey
351,"I mean, if you give me a case that says copyright infringement itself is injury, I'll believe you.",mean give case says copyright infringement injury believe
352,But I don't think you've given me one.,dont think given
353,What's your injury?,injury
354,"The judges and Schwarz volley over case law and legal precedent and the definition of author for 20 minutes before handing the floor to David's lawyer, Andrew Dhuey.",judges case law legal precedent definition author minutes handing floor lawyer
355,"And after two years of research and legal filings and oral arguments, Dhuey finally gets his wish to make a monkey joke in court.",years research legal filings oral arguments wish make court
356,"Monkey see, monkey sue will not do in federal court.",monkey see monkey sue federal court
357,"After that, his oral arguments can pretty much be summed up as, you should throw this case out.",oral arguments much summed throw case
358,And can you please make PETA pay my legal fees?,make pay legal fees discussed
359,"Once Dhuey is done, Angela Dunning gets up.",done granting
360,She's the codefendant's attorney.,codefendants attorney
361,PETA also sued the self publishing book company that David had used.,sued self publishing company used
362,"So Angela Dunning gets up to deliver her defense, which is also pretty straightforward.",deliver defense
363,Naruto can't benefit financially from his work.,benefit work
364,He's a monkey.,monkey
365,David Slater wasn't in court in San Francisco that day.,court san francisco day
366,He didn't wanna spend the money to travel all the way to California from Wales.,wanna spend money travel way california wales
367,But he watched the whole hearing online.,watched whole hearing
368,When I watched itand you see three judges there.,watched see judges
369,"And then one attorney comes up, and then my attorney comes up, Andrew and then Angela, and they started talking about monkeys.",attorney comes attorney comes started talking monkeys
370,It made it real all of a sudden.,made real sudden
371,"That, yes, he was being sued by a monkey.",sued monkey
372,Naruto didn't make it to the hearing either.,make hearing
373,He stayed in the rainforest in Indonesia.,stayed rainforest indonesia
374,"And to my knowledge, nobody asked him what he thought of all this.",knowledge asked thought
375,"After two years, the humans managed to figure things out on their own.",years humans managed figure things own
376,They told the appellate court they didn't want it to rule in the case after all.,told appellate court didnt want rule case
377,"And in September, David and PETA announced they'd reached a settlement.",september announced reached settlement
378,The details of the settlement are confidential.,details settlement confidential
379,So I can't tell you much about it.,tell much heres
380,But here's what I do know.,know
381,David Slater still has the monkey selfie copyright registered in his name in two countries.,monkey selfie copyright registered name countries
382,And he agreed to donate 25 percent of the proceeds of the photos to protect the crested macaques.,agreed donate percent proceeds photos protect macaques
383,"About Wikipedia, they've still got the monkey selfie up there for anyone to download.",wikipedia monkey selfie download
384,They still claim it's in the public domain.,claim public domain
385,"David will have to sue them to get it taken down, which he says he plans to do.",sue taken says plans
386,There's just one other thing that should be mentioned about Naruto.,other thing mentioned
387,There were a bunch of monkeys around when the selfies were being taken that day.,bunch monkeys selfies taken day
388,And PETA consulted with the primatologist who works with those crested black macaques.,consulted primatologist works black macaques
389,She's the one who identified Naruto as the monkey in the famous selfie.,identified monkey famous selfie
390,But David says that's not right.,says
391,Naruto is a male.,male male
392,I distinctly remember it being a female.,remember female
393,I distinctly remember that pink rump which the female macaques have.,remember pink rump female macaques
394,Basically what you're saying is is that Naruto is making a fraudulent claim himself.,saying making fraudulent claim
395,Yes.,
396,It's the wrong monkey in court.,wrong monkey court
397,He's taking credit for an artistic work that was actually made by a female monkey.,taking artistic work made female monkey
398,Yeah.,
399,And I think the feminists amongst us should start to protest.,think feminists start protest
400,I'm sure she's not the first lady monkey to have this kind of experience.,sure lady monkey experience
401,It's in the nature of both humans and monkeys to horse around in front of cameras.,nature humans monkeys horse front cameras
