start,end,en,he,ar
339.0373279,339.3873279,license,רשיון,رخصة
339.4273279,339.5573279,fee,תשלום,قسط
342.0658279,342.2658279,sent,נשלח,مرسل
342.4158279,342.7758279,letter,מכתב,خطاب
343.7058279,343.8958279,sent,נשלח,مرسل
344.0358279,344.3058279,letter,מכתב,خطاب
344.4058279,344.7258279,saying,פתגם,الحد الأقصى
345.4558279,345.6458279,think,לחשוב,يفكر
345.7758279,346.0558279,using,באמצעות,خلال
346.9258279,347.3958279,license,רשיון,رخصة
347.4158279,347.7158279,fee,תשלום,قسط
348.4058279,348.6258279,show,להציג,عرض
350.4458279,350.8158279,pay,לשלם,يدفع
352.7758279,352.9858279,wrote,כתב,كتابة
353.6258279,354.0258279,saying,פתגם,الحد الأقصى
355.3658279,355.7658279,image,תמונה,صورة
356.1558279,356.4658279,believe,להאמין,يعتقد
357.0358279,357.7258279,public_domain,נחלת הכלל,الملكية العامة
358.6772279,359.2172279,other_words,מילים אחרות,كلمات أخرى
359.7572279,359.8772279,use,להשתמש,يستخدم
360.6372279,361.2072279,permission,רשות,إذن
361.6972279,362.0872279,free,לשחרר,يطلق
364.1272279,364.6672279,stealing,גניבה,سرقة
365.6072279,365.7872279,makes,עושה,يفعل
365.8972279,366.1372279,living,חי,يعيش
366.3372279,366.5872279,selling,מכירה,أُوكَازيُون
366.7172279,367.3472279,pictures,תמונות,صور
368.0072279,368.2872279,helpful,מועיל,متعاون
368.9572279,369.0872279,such,כזה,هذه
369.2172279,369.5072279,hit,להיט,يضرب
371.3972279,371.6872279,download,הורדה,تحميل
372.1272279,372.7572279,wikipedia,ויקיפדיה,ويكيبيديا
373.4172279,373.5272279,hang,לתלות,يشنق
373.8972279,374.3072279,wall,קיר,حائط
374.5972279,374.7072279,print,הדפס,مطبعة
374.9872279,375.7172279,publication,פרסום,دعاية
377.0372279,377.5972279,wikipedias,ויקיפדיה,ويكيبيديا
377.6372279,378.0372279,opinion,דעה,رأي
378.3472279,378.8972279,information,מידע,معلومة
379.1372279,379.4472279,internet,אינטרנט,إنترنت
379.8172279,380.2472279,free,חינם,حر
381.6672279,381.9172279,learned,מלומד,باحث
382.2872279,382.7772279,decided,החליט,مقرر
382.8972279,383.2372279,selfie,סלפי,صورة سيلفي
383.5772279,384.4172279,public_domain,נחלת הכלל,الملكية العامة
385.1879279,385.5379279,monkey,קוף,قرد
385.5579279,385.8279279,pressed,לחוץ,خارج
385.9379279,386.2279279,button,לחצן,زر
388.9985279,389.3685279,monkey,קוף,قرد
390.0785279,390.5085279,creator,יוצר,الخالق
390.7385279,391.1585279,photo,תצלום,تصوير
392.3385279,392.9285279,wikipedias,ויקיפדיה,ويكيبيديا
392.9685279,393.5685279,assessment,הערכה,تقدير
393.7685279,394.0685279,monkeys,קופים,القرود
394.3785279,394.5685279,own,שלו,له
394.5685279,395.2885279,copyrights,זכויות יוצרים,حقوق الطبع والنشر
396.6685279,396.9385279,photo,תצלום,تصوير
397.1885279,397.5085279,free,לשחרר,يطلق
397.7085279,399.1285279,fair_use,שימוש הוגן,الاستخدام العادل
400.0085279,400.4685279,belonged,השתייך,ينتمي إلى
400.9185279,401.3285279,internet,לאינטרנט,إنترنت
402.8985279,403.3585279,baffled,מבולבל,مشوش
404.0985279,404.3485279,thought,מחשבה,معتقد
405.6726279,406.2126279,copyright,זכות יוצרים,حقوق الطبع والنشر
406.6326279,406.8326279,set,מערכת,نظام
407.7726279,408.1526279,intent,מרוכז,مركزة
408.4826279,409.0526279,creativity,יצירתיות,إِبداع
409.0926279,409.2726279,alls,הכל,كل شئ
409.3526279,409.5826279,monkey,קוף,قرد
409.5826279,409.7126279,did,עשה,فعل
409.8226279,409.9926279,press,ללחוץ,يضعط
410.0726279,410.3126279,button,לחצן,زر
411.2176279,411.7076279,wikipedia,ויקיפדיה,ويكيبيديا
411.6676279,411.9676279,includes,כולל,مشتمل
412.1176279,412.3076279,note,פתק,ملحوظة
412.6676279,413.1476279,photo,תצלום,تصوير
413.4376279,413.8976279,reads,קורא,قارئ
415.2476279,415.5376279,file,קובץ,ملف
415.8676279,416.7476279,public_domain,נחלת הכלל,الملكية العامة
418.2376279,418.3876279,work,עבודה,عمل
419.1076279,419.5976279,animal,חיה,حيوان
420.5376279,420.8076279,human,אנושי,بشر
420.8676279,421.2876279,author,מחבר,مؤلف
421.6776279,422.1276279,copyright,זכות יוצרים,حقوق الطبع والنشر
422.2876279,422.7676279,vested,מושקע,استثمر
424.2776279,424.6576279,decision,החלטה,قرار
424.7976279,425.6276279,wikipedias,ויקיפדיה,ويكيبيديا
426.1076279,426.4576279,declare,להכריז,يعلن
426.5676279,426.8976279,photo,תצלום,تصوير
426.9176279,427.8476279,public_domain,נחלת הכלל,الملكية العامة
429.1076279,429.4076279,opening,פתיחה,افتتاح
430.1176279,430.4076279,monkey,קוף,قرد
430.4476279,430.7876279,selfie,סלפי,صورة سيلفي
430.8476279,431.1476279,battle,קרב,معركة
431.2976279,431.7176279,come,לבוא,يأتي
432.8176279,433.0476279,moment,רגע,لحظة
433.2276279,433.4376279,mother,אמא,الأم
433.5176279,433.8276279,nature,טבע,طبيعة
433.9776279,434.2276279,shoved,דחף,يحث
434.9776279,435.7376279,human_nature,טבע אנושי,الطبيعة البشرية
436.5076279,436.9976279,overstuffed,ממולא יתר על המידה,متخم
437.0376279,437.4476279,baggage,כבודה,أمتعة
437.5776279,437.9876279,laws,חוקים,قواعد
438.1376279,438.6576279,opinions,דעות,الآراء
438.8076279,439.5976279,domination,שליטה,يتحكم
439.9976279,440.1276279,took,לקח,درس
440.2576279,440.5076279,seat,מושב,مقعد
448.0676279,448.5876279,offensive,התקפי,جارح
448.9576279,449.2876279,assembled,מורכב,معقد
449.3976279,449.5476279,team,קבוצה,مجموعة
449.7376279,450.2876279,lawyers,עורכי דין,المحامون
450.3676279,450.6376279,studied,מחושב,محسوب
450.8976279,451.7276279,copyright_law,חוק זכויות יוצרים,قانون حقوق التأليف والنشر
452.4876279,452.6476279,looked,הסתכל,ينظر
452.8276279,453.1276279,finding,ממצא,إيجاد
453.1476279,453.3976279,venture,להעז,تحدّي
453.4576279,454.0676279,capitalists,קפיטליסטים,الرأسماليون
454.1676279,454.3576279,fund,קרן,تمويل
454.4476279,454.8376279,lawsuit,תביעה,مطالبة
455.1676279,455.8176279,wikipedia,ויקיפדיה,ويكيبيديا
456.8076279,457.3976279,wikimedia,ויקימדיה,ويكيميديا
458.8176279,459.0376279,owns,בעלים,مالك
459.0576279,459.6776279,wikipedia,ויקיפדיה,ويكيبيديا
460.5476279,460.6776279,gave,נתן,منح
460.9076279,461.2576279,finger,אצבע,إصبع
462.5476279,462.7076279,big,גדול,كبير
462.7076279,463.1176279,conference,ועידה,مؤتمر
463.2476279,463.7076279,london,לונדון,لندن
464.2276279,464.3776279,called,נקרא,مُسَمًّى
466.1776279,466.6676279,founders,מייסדים,المؤسسون
467.0276279,467.2976279,wales,ויילס,ويلز
468.9282279,469.1582279,know,לדעת,يعرف
469.7182279,469.8782279,good,טוב,جيد
472.1982279,472.7982279,wales,ויילס,ويلز
473.3382279,473.5282279,many,רבים,كثير
473.6682279,474.3082279,delegates,נציגים,الممثلون
474.6182279,474.9482279,mocking,לעגני,السخرية
476.8682279,477.2382279,printing,הדפסה,طباعة
477.6982279,477.9682279,image,תמונה,صورة
478.4882279,478.7182279,great,גדול,كبير
478.7182279,478.8682279,big,גדול,كبير
478.9382279,479.4582279,boards,לוחות,المجالس
479.9382279,480.2182279,placed,מוצב,تم وضعه
481.4182279,481.9482279,conference,ועידה,مؤتمر
482.0082279,482.7082279,facility,מתקן,جهاز
483.7382279,484.0782279,wales,ויילס,ويلز
484.5682279,484.9282279,various,שונים,متنوع
484.9682279,485.1182279,other,אחר,آخر
485.1182279,485.5282279,people,אנשים,الناس
485.9782279,486.8082279,encouraging,מעודד,مشجع
486.8782279,487.4882279,delegates,נציגים,الممثلون
487.6682279,488.0582279,take,ליטול,يأخذ
488.4582279,489.1982279,selfies,סלפי,صورة سيلفي
489.9182279,490.3482279,selfie,סלפי,صورة سيلفي
491.1168279,491.3968279,mean,ממוצע,متوسط
491.5658279,491.7158279,few,מעטים,عدد قليل
492.0058279,492.3158279,images,תמונות,صور
492.7958279,493.0658279,place,מקום,مكان
493.3358279,493.7558279,internet,לאינטרנט,إنترنت
495.1058279,495.4458279,wales,ויילס,ويلز
496.4058279,497.1158279,odious,נתעב,خطأ
497.9006279,498.0506279,wait,לחכות,انتظر
498.1806279,498.3306279,wanna,רוצה,يريد
498.3906279,498.5306279,look,מבט,ينظر
499.1206279,499.4706279,fast,מהיר,سريع
499.8506279,499.9806279,hang,לתלות,يشنق
501.0542279,501.4942279,wales,ויילס,ويلز
503.4542279,503.8242279,monkey,קוף,قرد
503.8642279,504.3742279,selfie,סלפי,صورة سيلفي
503.9868279,504.2168279,wales,ויילס,ويلز
505.6038279,505.7838279,go,ללכת,يذهب
506.1738279,506.3038279,look,מבט,ينظر
507.8438279,508.0838279,type,סוג,يكتب
508.7338279,509.0238279,wales,ויילס,ويلز
509.1038279,509.3838279,monkey,קוף,قرد
509.4838279,509.9638279,selfie,סלפי,صورة سيلفي
511.4138279,511.5838279,find,למצוא,يجد
512.2438279,512.7638279,adult_male,זכר למבוגרים,ذكر بالغ
512.8638279,513.2838279,human,אנושי,بشر
513.8138279,514.0538279,holding,החזקה,حيازة
514.2138279,514.4038279,phone,טלפון,هاتف
514.8638279,515.2138279,hand,יד,يُسلِّم
